skola_izo;skola_zkr;skola_nazev
529681;SOŠVolanovská;SOŠ a SOU Trutnov, Volanovská 243
15062848;SPŠHradební;SPŠ,SOŠ a SOU,Hradební,HK
43462448;ZŠHostinnéK.K.;Základní škola Karla Klíče Hostinné, Horská 130
47463724;ZŠKomenského;Základní škola, Trutnov, Komenského 399
47463783;ZŠMládežnická;Základní škola, Trutnov 2, Mládežnická 536
47463848;ZŠFrimla;Základní škola, Trutnov, Rudolfa Frimla 816
47463996;ZŠBří.ČapkůÚpice;Základní škola Bratří Čapků, Úpice, Komenského 151
47464143;ZŠGorkého;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
47466928;ZŠRudník;ZŠ a MŠ Rudník, okres Trutnov
48161012;gymn.Pardubice;Sportovní gymnázium Pardubice, Dašická 268, Pardubice
49290266;ZŠMaršov;Základní škola a Mateřská škola, Horní Maršov, okres Trutnov
49290649;ZŠSvatoňovice;Základní škola Malé Svatoňovice, 17. listopadu 178
60152885;ZŠBuky;Základní škola a mateřská škola, Mladé Buky 160
60154721;ZŠSchulz.SadyDvůrKnL;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
102254702;ZŠ a MŠ Hronov;Základní škola a Mateřská škola Hronov
102254869;ZŠNáchKom;ZŠ Náchod, Komenského 425
102254958;ZŠPolice;ZŠ Police nad Metují
102 442 878;ZŠJilemKom;Základní škola Jilemnice, Komenského 288
102442886;ZŠJilemHarracha;ZŠ Jilemnice, Jana Harracha 97
102578371;ZŠPilníkov;Základní škola a Mateřská škola, Pilníkov, okres Trutnov
102578435;ZŠBíláTř.;Základní škola a Mateřská škola, Bílá Třemešná, okres Trutnov
102578460;ZŠDvůrKr.5.května;Základní škola 5. května, Dvůr Králové nad Labem, 28. října 731, okres Trutnov
102578532;ZŠDubenec;Základní škola Dukelských bojovníků a mateřská škola, Dubenec
102578672;ZŠRadvanice;Základní škola a Mateřská škola, Radvanice, okres Trutnov
102578737;ZŠSvoboda/Úp.;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
102578753;ZŠŠp.Mlýn;Základní škola, Špindlerův Mlýn 32, okres Trutnov
102578869;ZŠPoříčí;Základní škola, Trutnov 3, Náchodská 18
102578923;ZŠLányÚpice;Základní škola Úpice - Lány, Úpice, Palackého 793
102578974;ZŠMír.Vr.;Základní škola, Vrchlabí, nám. Míru 283
102590061;ZŠBernartice;Základní škola a Mateřská škola, Bertartice, okres Trutnov
102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
107850079;SŠChomutov;Střední škola technická, gastronomická a automobilní, Chomutov, příspěvková organizace
110010264;VOŠ a SZŠ;VOŠ zdravotnická a Stř. zdravotnická škola
110037791;SŠinform Dr.Kr.;Střední škola informatiky a služeb, Elišky Krásnohorské 2069, Dvůr Králové nad Labem
117900729;ZŠŠk.Vr;Základní škola, Vrchlabí, Školní 1336
102254591;ZŠMŠ Hořičky;Základní škola a Mateřská škola Hořičky
102254648;ZŠ Česká Skalice;Základní škola, Česká Skalice
102590044;ZŠ Žacléř;Základní škola, Žacléř
49290576;ZŠaZuŠ Rtyně v Podkrkonoší;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší
108026736;Gymn. A SOŠ;Gymnázium a Střední odborná škola
60154730;ZŠ Strž, Dvůr Králové;Základní škola Strž, Dvůr Králové nad Labem, E. Krásnohorské 2919
102442797;ZŠaMŠ Horní Branná;Základní škola a Mateřská škola Josefa Šíra, Horní Branná, příspěvková organizace
60154691;ZŠ Podharť;Základní škola Podharť
151014507;BPA Malé Svatoňovice;Bezpečnostně právní akademie, s.r.o., střední škola
527939;SŠ sl., obch. a gastr. HK;Střední škola služeb, obchodu a gastronomie, Hradec Králové, Velká 3
102578397;ZŠMŠ Lánov;Základní škola a Mateřská škola, Lánov
