id,prospech_a_souteze,prijimacky_cestina,prijimacky_matematika,prijimacky_celkem,body_celkem,prijat
102,60.00,39,49,88,148.00,True
262,56.85,37,44,81,137.85,True
252,56.85,44,36,80,136.85,True
96,60.00,34,37,71,131.00,True
254,54.90,38,34,72,126.90,True
55,52.95,37,36,73,125.95,True
61,56.85,42,22,64,120.85,True
108,49.65,31,40,71,120.65,True
112,58.20,37,25,62,120.20,True
152,58.95,37,23,60,118.95,True
176,47.85,37,32,69,116.85,True
158,59.10,32,24,56,115.10,True
86,37.50,30,47,77,114.50,True
83,48.75,37,28,65,113.75,True
177,46.35,27,38,65,111.35,True
227,56.10,35,18,53,109.10,True
150,37.50,38,32,70,107.50,True
25,60.00,24,23,47,107.00,True
309,39.45,40,25,65,104.45,True
19,43.95,33,27,60,103.95,True
257,55.80,24,22,46,101.80,True
279,36.30,33,28,61,97.30,True
255,57.00,27,13,40,97.00,True
219,40.95,36,20,56,96.95,True
103,40.50,30,26,56,96.50,True
71,47.85,17,29,46,93.85,True
50,44.70,23,25,48,92.70,True
135,52.50,23,17,40,92.50,True
24,47.85,28,16,44,91.85,True
124,53.85,25,13,38,91.85,False
62,36.15,29,25,54,90.15,False
232,35.70,32,22,54,89.70,False
157,31.85,28,29,57,88.85,False
212,42.00,18,28,46,88.00,False
16,33.90,32,22,54,87.90,False
145,41.10,20,26,46,87.10,False
18,36.60,25,25,50,86.60,False
183,29.10,22,33,55,84.10,False
179,44.55,20,19,39,83.55,False
253,42.15,25,13,38,80.15,False
263,42.60,20,17,37,79.60,False
41,38.40,22,18,40,78.40,False
216,38.55,19,20,39,77.55,False
54,41.55,27,9,36,77.55,False
230,30.15,26,21,47,77.15,False
182,34.95,28,13,41,75.95,False
281,32.10,23,20,43,75.10,False
57,29.70,29,15,44,73.70,False
13,29.85,21,19,40,69.85,False
235,32.10,21,14,35,67.10,False
256,28.20,19,17,36,64.20,False
277,34.95,20,9,29,63.95,False
115,41.70,11,10,21,62.70,False
260,23.40,24,14,38,61.40,False
267,39.00,13,7,20,59.00,False
251,23.55,13,17,30,53.55,False
140,16.50,18,10,28,44.50,False
338,0.00,0,6,6,6.00,False
