id,prospech_a_souteze,prijimacky_cestina,prijimacky_matematika,prijimacky_celkem,body_celkem,prijat
73,60.00,47,50,97,157.00,True
225,61.90,42,50,92,153.90,True
92,56.25,46,48,94,150.25,True
174,66.00,41,43,84,150.00,True
97,58.05,42,44,86,144.05,True
94,54.30,39,49,88,142.30,True
82,59.10,39,42,81,140.10,True
224,58.95,36,43,79,137.95,True
59,55.35,35,38,73,128.35,True
36,52.65,36,37,73,125.65,True
111,48.75,34,40,74,122.75,True
215,53.55,34,34,68,121.55,True
180,51.45,35,34,69,120.45,True
27,51.90,33,33,66,117.90,True
178,40.65,33,41,74,114.65,True
204,50.55,29,33,62,112.55,True
11,52.50,36,22,58,110.50,True
259,39.60,33,36,69,108.60,True
146,49.95,29,29,58,107.95,True
12,58.95,25,24,49,107.95,True
1,51.60,32,24,56,107.60,True
147,43.35,32,30,62,105.35,True
120,43.80,37,23,60,103.80,True
156,38.55,40,24,64,102.55,True
195,43.50,27,32,59,102.50,True
107,57.15,26,19,45,102.15,True
118,45.90,28,25,53,98.90,True
8,49.65,24,23,47,96.65,True
220,38.10,18,38,56,94.10,True
276,55.35,27,11,38,93.35,False
213,42.00,31,20,51,93.00,False
221,45.00,25,23,48,93.00,False
49,44.70,23,25,48,92.70,False
214,39.30,31,22,53,92.30,False
193,44.55,31,16,47,91.55,False
231,35.70,32,22,54,89.70,False
149,26.85,26,33,59,85.85,False
70,38.40,19,27,46,84.40,False
110,42.45,26,15,41,83.45,False
85,39.60,22,21,43,82.60,False
80,39.30,18,24,42,81.30,False
151,40.80,20,20,40,80.80,False
29,51.60,17,12.,29,80.60,False
181,38.70,19,22,41,79.70,False
42,38.40,22,18,40,78.40,False
229,30.15,26,21,47,77.15,False
58,29.70,29,15,44,73.70,False
77,39.30,16,13,29,68.30,False
144,30.90,22,14,36,66.90,False
63,36.60,18,11,29,65.60,False
278,34.95,20,9,29,63.95,False
114,41.70,11,10,21,62.70,False
191,37.50,10,10,20,57.50,False
336,11.40,12,23,35,46.40,False
139,16.50,18,10,28,44.50,False
