prijmeni;jmeno;trida;skola_izo;skola_zkr;skola_nazev
50980;a9dd0;1.EP;47466928;ZŠRudník;ZŠ a MŠ Rudník, okres Trutnov
6f6a9;1860f;1.EP;49290576;ZŠaZUŠRtyněvPod.;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší, Rtyně v Podkrkonoší, Školní 662
e1005;167cd;1.EP;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
1bf2d;91015;1.EP;49290576;ZŠaZUŠRtyněvPod.;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší, Rtyně v Podkrkonoší, Školní 662
0978b;b9014;1.EP;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
e1f77;3c623;1.EP;117900729;ZŠŠk.Vr 1336;Základní škola, Vrchlabí, Školní 1336
fbf05;06d5f;1.EP;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
e6224;0f8e5;1.EP;117900729;ZŠŠk.Vr 1336;Základní škola, Vrchlabí, Školní 1336
d8fed;db633;1.EP;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
c9fce;ae7de;1.EP;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
4c7da;b569e;1.EP;49290576;ZŠaZUŠRtyněvPod.;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší, Rtyně v Podkrkonoší, Školní 662
14095;968e1;1.EP;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
97fb3;f6a3d;1.EP;102578460;ZŠ5.května;Základní škola 5. května, Dvůr Králové nad Labem, 28. října 731, okres Trutnov
10be8;36378;1.EP;49290649;ZŠSvato;Základní škola Malé Svatoňovice, 17. listopadu 178
2dda4;6f0c5;1.EP;102254958;ZŠPolice;ZŠ Police nad Metují
d1b00;bf283;1.EP;102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
273d9;3885d;1.EP;102578923;ZŠLány;Základní škola Úpice - Lány, Úpice, Palackého 793
4ee41;9c69c;1.EP;102578460;ZŠ5.května;Základní škola 5. května, Dvůr Králové nad Labem, 28. října 731, okres Trutnov
cbd9e;3b917;1.EP;60153393;Gymn.DKnL;Gymnázium, Dvůr Králové nad Labem
85837;80fd2;1.EP;102442797;ZŠHorníBranná;Základní škola a Mateřská škola Josefa Šíra, Horní Branná, příspěvková organizace, Horní Branná, č.p. 257
8210d;5d6f0;1.EP;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
a8864;400f8;1.EP;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
1a618;7251a;1.EP;47463996;ZŠBří.Ú;Základní škola Bratří Čapků, Úpice, Komenského 151
66ba1;5cacf;1.EP;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
871f9;09971;1.EP;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
c9ee8;d9412;1.EP;102578672;ZŠRadvanice;Základní škola a Mateřská škola, Radvanice, okres Trutnov
386db;d96dd;1.EP;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
cd89e;7ba38;1.EP;102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
3b3d6;0a939;1.IT;60154691;ZŠPodharťDv.Kr.;Základní škola Podharť, Dvůr Králové nad Labem, Máchova 884
dce71;5b9b2;1.IT;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
8fa7e;e4f35;1.IT;102578371;ZŠPilní;Základní škola a Mateřská škola, Pilníkov, okres Trutnov
75815;7fe78;1.IT;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
c7be8;4fbf4;1.IT;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
40dc1;decd8;1.IT;43462448;ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130
51384;d715f;1.IT;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
79bf0;9361d;1.IT;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
2c29c;b46b1;1.IT;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
724a9;959d8;1.IT;49290576;ZŠaZUŠRtyněvPod.;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší, Rtyně v Podkrkonoší, Školní 662
10607;53810;1.IT;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
f09d6;580ca;1.IT;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
d0165;e155c;1.IT;110200403;SPŠTrutnov;Střední průmyslová škola, Trutnov
e93e5;fe513;1.IT;102578648;ZŠaMŠ Mostek;Základní a mateřská škola Mostek
c560c;6832b;1.IT;60154691;ZŠPodharťDv.Kr.;Základní škola Podharť, Dvůr Králové nad Labem, Máchova 884
05ac5;4cf20;1.IT;102578371;ZŠPilní;Základní škola a Mateřská škola, Pilníkov, okres Trutnov
e94df;74c49;1.IT;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
d906a;0393e;1.IT;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
92cba;42b89;1.IT;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
b23d0;f440e;1.IT;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
601c6;d5844;1.IT;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
01155;ad784;1.IT;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
0bc88;9b198;1.IT;102206414;ZŠStaráPaka;Masarykova základní škola, Stará Paka
b8ea5;95136;1.IT;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
09d27;596c7;1.IT;49290649;ZŠSvato;Základní škola Malé Svatoňovice, 17. listopadu 178
e5f07;07149;1.IT;15037789;Gymn.+SOŠÚpice;Městské gymnázium a střední odborná škola Úpice, Úpice, Havlíčkova 812
06388;7082e;1.IT;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
a1009;35be2;1.IT;102578460;ZŠ5.května;Základní škola 5. května, Dvůr Králové nad Labem, 28. října 731, okres Trutnov
cfa12;f8743;1.IT;60154730;ZŠStržDv.Kr.;Základní škola Strž, Dvůr Králové nad Labem, Elišky Krásnohorské 2919
4de36;783fe;1.IT;102254885;ZŠTepl.n.Met.;Základní škola a Mateřská škola, Teplice nad Metují, Rooseveltova 106
e7c7b;b0c00;1.S;49290576;ZŠaZUŠRtyněvPod.;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší, Rtyně v Podkrkonoší, Školní 662
3c26c;41ed8;1.S;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
23ead;1eaac;1.S;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
1b167;87e02;1.S;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
5905a;8fe0c;1.S;60154730;ZŠStržDv.Kr.;Základní škola Strž, Dvůr Králové nad Labem, Elišky Krásnohorské 2919
be713;4aef3;1.S;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
e69e3;b5fce;1.S;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
36046;5fbd3;1.S;102142700;ZŠTřemošnice;Základní škola, Třemošnice
a1b47;60b58;1.S;102254869;ZŠNáchKom;ZŠ Náchod, Komenského 425
