id,prospech_a_souteze,prijimacky_cestina,prijimacky_matematika,prijimacky_celkem,body_celkem,prijat
87,60.00,43,40,83,143.00,True
44,53.55,40,39,79,132.55,True
85,58.05,32,24,56,114.05,True
95,43.65,30,36,66,109.65,True
108,51.60,33,25,58,109.60,True
28,50.25,37,22,59,109.25,True
10,47.25,32,28,60,107.25,True
93,53.40,36,17,53,106.40,True
162,42.75,38,25,63,105.75,True
88,42.90,32,30,62,104.90,True
153,46.05,32,26,58,104.05,True
230,49.05,29,26,55,104.05,True
163,43.65,32,27,59,102.65,True
64,34.05,28,25,53,87.05,True
206,38.40,27,19,46,84.40,True
261,36.45,30,17,47,83.45,True
11,45.90,21,16,37,82.90,True
14,45.90,27,9,36,81.90,True
255,47.25,12,16,28,75.25,True
235,24.75,31,17,48,72.75,True
123,32.10,17,16,33,65.10,True
70,3.00,33,27,60,63.00,True
185,23.10,18,19,37,60.10,True
274,14.40,21,24,45,59.40,True
195,16.05,18,19,37,53.05,True
56,25.05,15,9,24,49.05,True
176,19.05,14,5,19,38.05,True
196,6.00,14,11,25,31.00,True
226,4.05,8,6,14,18.05,False
