id,prospech_a_souteze,prijimacky_cestina,prijimacky_matematika,prijimacky_celkem,body_celkem,prijat
98,54.60,41,45,86,140.60,True
96,56.10,41,42,83,139.10,True
26,58.95,38,38,76,134.95,True
81,54.90,37,37,74,128.90,True
12,51.75,41,35,76,127.75,True
245,54.15,44,27,71,125.15,True
18,55.05,32,38,70,125.05,True
246,52.65,38,31,69,121.65,True
144,57.00,39,24,63,120.00,True
207,47.25,36,33,69,116.25,True
214,50.25,33,33,66,116.25,True
66,52.65,31,31,62,114.65,True
135,57.00,29,27,56,113.00,True
271,40.80,29,38,67,107.80,True
137,40.95,39,27,66,106.95,True
270,46.50,33,19,52,98.50,True
222,46.50,26,26,52,98.50,True
105,45.90,23,29,52,97.90,True
6,46.80,30,20,50,96.80,True
1,43.95,24,26,50,93.95,True
128,37.80,27,29,56,93.80,True
42,35.40,23,30,53,88.40,True
268,34.20,33,19,52,86.20,True
273,19.50,26,39,65,84.50,True
188,31.80,28,24,52,83.80,True
22,29.55,34,19,53,82.55,True
32,36.30,31,15,46,82.30,True
13,31.95,27,22,49,80.95,True
89,31.80,25,24,49,80.80,True
215,35.55,27,17,44,79.55,True
199,20.85,23,31,54,74.85,False
160,36.00,28,10,38,74.00,False
3,23.85,24,26,50,73.85,False
172,31.65,22,20,42,73.65,False
272,25.50,21,23,44,69.50,False
209,38.10,13,12,25,63.10,False
113,17.10,23,22,45,62.10,False
51,26.10,23,11,34,60.10,False
178,23.10,25,10,35,58.10,False
212,21.30,15,13,28,49.30,False
205,16.05,5,9,14,30.05,False
