prijmeni;jmeno;trida;skola_izo;skola_zkr;skola_nazev
2a170;3a727;1.IT;102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
c3956;a1e40;1.IT;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
9fc5a;2e01a;1.IT;102578371;ZŠPilní;Základní škola a Mateřská škola, Pilníkov, okres Trutnov
e501c;b232e;1.IT;102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
0b746;9c17d;1.IT;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
82709;2623d;1.S;49290576;ZŠaZUŠRtyněvPod.;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší, Rtyně v Podkrkonoší, Školní 662
330d3;174dd;1.S;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
341f1;629d9;1.S;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
7eb68;93bef;1.S;102578923;ZŠLány;Základní škola Úpice - Lány, Úpice, Palackého 793
50db4;073a9;1.S;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
3325f;ed7f7;1.S;60154691;ZŠPodharťDv.Kr.;Základní škola Podharť, Dvůr Králové nad Labem, Máchova 884
7e736;5c8aa;1.S;102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
ff95d;b957d;1.S;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
ffd3c;33a07;1.S;60154691;ZŠPodharťDv.Kr.;Základní škola Podharť, Dvůr Králové nad Labem, Máchova 884
d0165;e155c;1.S;102578923;ZŠLány;Základní škola Úpice - Lány, Úpice, Palackého 793
7ff82;a146d;1.S;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
bd6c2;d90d5;1.S;102578460;ZŠ5.května;Základní škola 5. května, Dvůr Králové nad Labem, 28. října 731, okres Trutnov
d5081;abe23;1.S;43462448;ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130
8ea22;bc278;1.S;15037789;Gymn.+SOŠÚpice;Městské gymnázium a střední odborná škola Úpice, Úpice, Havlíčkova 812
17c38;532d7;1.S;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
04df4;7cc6c;1.S;102590044;ZŠŽacléř;Základní škola, Žacléř, J. A. Komenského 339
dedb8;d2410;1.S;117900729;ZŠŠk.Vr 1336;Základní škola, Vrchlabí, Školní 1336
5735f;e6f86;1.S;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
c2e6b;25138;1.S;102578460;ZŠ5.května;Základní škola 5. května, Dvůr Králové nad Labem, 28. října 731, okres Trutnov
c560c;6832b;1.S;60154691;ZŠPodharťDv.Kr.;Základní škola Podharť, Dvůr Králové nad Labem, Máchova 884
de50f;fb539;1.S;108026485;ZŠSpec.vz.potř.TU;Základní škola pro žáky se speciálními vzdělávacími potřebami, Trutnov, Mentzlova 1
0b359;e7f57;1.S;102578460;ZŠ5.května;Základní škola 5. května, Dvůr Králové nad Labem, 28. října 731, okres Trutnov
62ffc;95cc1;1.S;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
2a585;306bf;1.S;102254648;ZŠČes.Skalice;Základní škola, Česká Skalice, Zelená 153
4999b;bf37d;1.ST;47463996;ZŠBří.Ú;Základní škola Bratří Čapků, Úpice, Komenského 151
b0d16;5cb36;1.ST;60154730;ZŠStržDv.Kr.;Základní škola Strž, Dvůr Králové nad Labem, Elišky Krásnohorské 2919
a9969;ffa69;1.ST;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
103cb;851b5;1.ST;60153245;Gymn.+SOŠVrchlabí;Krkonošské gymnázium a Střední odborná škola, Vrchlabí, Komenského 586
f66d3;3e5cc;1.ST;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
9c952;f000f;1.ST;102254885;ZŠTepl.n.Met.;Základní škola a Mateřská škola, Teplice nad Metují, Rooseveltova 106
fc928;3e735;1.ST;49290576;ZŠaZUŠRtyněvPod.;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší, Rtyně v Podkrkonoší, Školní 662
e9285;66d87;1.ST;102254869;ZŠNáchKom;ZŠ Náchod, Komenského 425
740ec;48e58;1.ST;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
fd686;a7668;1.ST;102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
d138d;d513e;1.ST;43462448;ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130
d1481;a2315;1.ST;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
66a60;66204;1.ST;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
4e005;b88b5;1.ST;43462448;ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130
3f37e;49fa0;1.ST;43462448;ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130
d0bb5;91b37;1.ST;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
a4bfc;92185;1.ST;49290576;ZŠaZUŠRtyněvPod.;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší, Rtyně v Podkrkonoší, Školní 662
dfa23;07f54;1.ST;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
e7916;3a9b9;1.ST;60152885;ZŠBuky;Základní škola a mateřská škola, Mladé Buky 160
9c215;b4267;1.ST;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
548dc;32bc7;1.ST;43462448;ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130
