prijmeni;jmeno;trida;skola_izo;skola_zkr;skola_nazev
89641;3a80e;1.EP;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
36609;698f6;1.EP;60153245;Gymn.+SOŠVrchlabí;Krkonošské gymnázium a Střední odborná škola, Vrchlabí, Komenského 586
59a86;e7d4b;1.EP;108026736;Gymn.+SŠHostinné;Gymnázium a střední škola, Hostinné, Horská 309
ec3a6;ad014;1.EP;43462448;ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130
dd1d3;cc96a;1.EP;102442797;ZŠHorníBranná;Základní škola a Mateřská škola Josefa Šíra, Horní Branná, příspěvková organizace, Horní Branná, č.p. 257
03ab8;53998;1.EP;60153245;Gymn.+SOŠVrchlabí;Krkonošské gymnázium a Střední odborná škola, Vrchlabí, Komenského 586
881ff;d91b4;1.EP;102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
13969;2a2f9;1.EP;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
f122e;d568c;1.EP;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
1abc5;dbec6;1.EP;102254907;ZŠHrad.Broumov;Základní škola Hradební, Broumov, Kostelní náměstí 244
742da;221bf;1.EP;60154691;ZŠPodharťDv.Kr.;Základní škola Podharť, Dvůr Králové nad Labem, Máchova 884
5ad9b;b6e67;1.EP;60153245;Gymn.+SOŠVrchlabí;Krkonošské gymnázium a Střední odborná škola, Vrchlabí, Komenského 586
0fdb4;d2be4;1.EP;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
d8253;81487;1.EP;102254648;ZŠČes.Skalice;Základní škola, Česká Skalice, Zelená 153
b7e40;5166f;1.EP;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
9bcfd;f8eba;1.EP;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
0f6d7;848ed;1.EP;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
1e9f2;e8f8e;1.EP;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
52a7a;14757;1.EP;47466928;ZŠRudník;ZŠ a MŠ Rudník, okres Trutnov
d906a;0393e;1.EP;15037789;Gymn.+SOŠÚpice;Městské gymnázium a střední odborná škola Úpice, Úpice, Havlíčkova 812
9f818;13312;1.EP;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
36c38;63ccd;1.EP;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
5257b;a854d;1.EP;43462448;ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130
93dc6;6d852;1.EP;49290649;ZŠSvato;Základní škola Malé Svatoňovice, 17. listopadu 178
81b2e;1043d;1.EP;49290649;ZŠSvato;Základní škola Malé Svatoňovice, 17. listopadu 178
fe247;64f0c;1.EP;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
16be2;02612;1.EP;102177236;ZŠJos.Důl;Základní škola a Mateřská škola Josefův Důl, okres Jablonec nad Nisou, příspěvková organizace, Josefův Důl, Dolní Maxov 208
b9b07;fe21f;1.EP;102578672;ZŠRadvanice;Základní škola a Mateřská škola, Radvanice, okres Trutnov
26cce;738d6;1.EP;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
b5db9;abe89;1.EP;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
12e26;e1a1e;1.IT;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
c599d;c46fc;1.IT;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
85774;59f51;1.IT;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
1281e;1ec4b;1.IT;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
4d078;740a6;1.IT;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
5849c;e4952;1.IT;43462448;ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130
54aa0;b4ccb;1.IT;117900729;ZŠŠk.Vr 1336;Základní škola, Vrchlabí, Školní 1336
023fc;ee8ba;1.IT;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
fbd1c;472b9;1.IT;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
b16c3;f3340;1.IT;102578672;ZŠRadvanice;Základní škola a Mateřská škola, Radvanice, okres Trutnov
0b4d5;48211;1.IT;102578923;ZŠLány;Základní škola Úpice - Lány, Úpice, Palackého 793
f7244;a8973;1.IT;102442797;ZŠHorníBranná;Základní škola a Mateřská škola Josefa Šíra, Horní Branná, příspěvková organizace, Horní Branná, č.p. 257
452d3;c517b;1.IT;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
dd8c9;90c38;1.IT;102578371;ZŠPilní;Základní škola a Mateřská škola, Pilníkov, okres Trutnov
ef5fc;43e51;1.IT;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
aa963;300e0;1.IT;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
c48df;660f9;1.IT;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
