id,prospech_zs,prijimacky_cestina,prijimacky_matematika,souteze_zs,body_celkem,prijat
181,56.10,41,43,2,142.10,True
198,53.40,41,43,0,137.40,True
137,60.00,39,31,0,130.00,True
216,58.80,35,28,0,121.80,True
112,58.80,41,21,0,120.80,True
123,54.00,35,22,0,111.00,True
139,47.10,37,26,0,110.10,True
91,48.90,35,21,0,104.90,True
235,36.30,34,31,0,101.30,True
176,54.00,31,13,0,98.00,True
246,42.00,31,21,0,94.00,True
28,39.90,37,17,0,93.90,True
268,41.40,32,16,0,89.40,True
208,50.10,27,12,0,89.10,True
40,33.00,29,26,0,88.00,True
219,38.10,25,19,0,82.10,True
114,45.30,26,10,0,81.30,True
96,36.30,29,15,0,80.30,True
7,30.60,24,25,0,79.60,True
188,32.70,30,16,0,78.70,True
116,39.30,28,11,0,78.30,True
9,39.90,24,13,0,76.90,True
262,31.80,31,14,0,76.80,True
144,36.00,30,10,0,76.00,True
25,38.40,23,14,0,75.40,True
146,28.20,22,25,0,75.20,True
299,33.60,29,12,0,74.60,True
244,31.80,22,20,0,73.80,True
82,38.40,24,11,0,73.40,True
44,41.10,25,5,0,71.10,True
194,36.90,28,5,0,69.90,False
72,33.30,22,13,0,68.30,False
128,34.20,24,8,0,66.20,False
232,29.10,23,14,0,66.10,False
119,20.40,32,13,0,65.40,False
297,26.10,30,9,0,65.10,False
159,24.90,25,15,0,64.90,False
290,34.50,21,6,0,61.50,False
222,16.80,26,18,0,60.80,False
256,27.90,20,10,0,57.90,False
57,30.00,13,8,0,51.00,False
275,23.70,18,9,0,50.70,False
214,27.60,14,6,0,47.60,False
249,15.00,18,11,0,44.00,False
164,0.90,30,12,0,42.90,False
254,18.30,18,6,0,42.30,False
263,0.00,28,3,0,31.00,False
