id,prospech_zs,prijimacky_cestina,prijimacky_matematika,souteze_zs,body_celkem,prijat
237,60.00,43,28,0,131.00,True
16,48.60,41,40,0,129.60,True
209,51.00,41,34,0,126.00,True
126,52.80,40,30,0,122.80,True
220,51.00,41,22,0,114.00,True
200,42.00,40,26,0,108.00,True
252,39.60,29,37,0,105.60,True
274,48.30,43,12,0,103.30,True
99,36.30,40,21,0,97.30,True
229,45.60,37,11,0,93.60,True
204,35.40,30,23,0,88.40,True
191,30.60,30,23,0,83.60,True
266,24.30,29,23,0,76.30,True
171,33.60,23,19,0,75.60,True
12,34.20,26,15,0,75.20,True
282,37.20,27,11,0,75.20,True
62,17.40,31,20,0,68.40,True
233,29.10,23,14,0,66.10,True
271,21.90,34,10,0,65.90,True
257,27.90,20,10,0,57.90,True
106,28.80,21,8,0,57.80,True
154,21.60,21,12,0,54.60,True
295,9.60,29,12,0,50.60,True
47,27.90,15,3,0,45.90,True
76,9.00,27,4,0,40.00,True
