Reg. č.,Výsledek,2. PPřR,1. PPřR,Průměr ZŠ,Body ZŠ,JPZ MA,JPZ ČJ,Celkem JPZ,Celkem PZ
466488,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.14,1.14,1.14,55.8,44.0,44.0,88.0,143.8
467858,nepřijat pro nesplnění podmínek přijímacího řízení,1.5,1.56,1.53,44.1,6.0,7.0,13.0,57.1
467861,nepřijat pro nedostačující kapacitu oboru,2.63,2.41,2.52,14.4,33.0,29.0,62.0,76.4
468322,přijat na základě přijímací zkoušky,1.47,1.27,1.37,48.9,27.0,28.0,55.0,103.9
468744,nepřijat pro nedostačující kapacitu oboru,2.06,1.94,2.0,30.0,21.0,24.0,45.0,75.0
469774,nepřijat pro nedostačující kapacitu oboru,1.86,1.87,1.865,34.05,30.0,32.0,62.0,96.05
470294,nepřijat pro nedostačující kapacitu oboru,2.13,2.06,2.095,27.15,18.0,19.0,37.0,64.15
471384,přijat na základě přijímací zkoušky,1.31,1.19,1.25,52.5,32.0,37.0,69.0,121.5
471886,nepřijat pro nedostačující kapacitu oboru,1.71,1.69,1.7,39.0,30.0,19.0,49.0,88.0
474112,přijat na základě přijímací zkoušky,1.38,1.25,1.315,50.55,38.0,18.0,56.0,106.55
475059,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.63,1.38,1.505,44.85,10.0,24.0,34.0,78.85
476875,přijat na základě přijímací zkoušky,1.2,1.13,1.165,55.05,48.0,37.0,85.0,140.05
477905,nepřijat pro nedostačující kapacitu oboru,1.44,1.44,1.44,46.8,13.0,19.0,32.0,78.8
478015,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.33,1.33,1.33,50.1,23.0,36.0,59.0,109.1
478124,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.06,1.07,1.065,58.05,32.0,39.0,71.0,129.05
479823,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.21,1.21,1.21,53.7,37.0,33.0,70.0,123.7
483763,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.77,2.31,2.04,28.8,42.0,43.0,85.0,113.8
485362,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.0,1.06,1.03,59.1,41.0,42.0,83.0,142.1
485898,přijat na základě přijímací zkoušky,2.0,2.0,2.0,30.0,43.0,34.0,77.0,107.0
487982,přijat na základě přijímací zkoušky,1.69,1.69,1.69,39.3,44.0,25.0,69.0,108.3
489453,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.4,1.41,1.405,47.85,45.0,40.0,85.0,132.85
490451,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.71,1.92,1.815,35.55,17.0,20.0,37.0,72.55
491183,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.27,1.4,1.335,49.95,44.0,36.0,80.0,129.95
492594,nepřijat pro nedostačující kapacitu oboru,2.19,2.06,2.125,26.25,25.0,23.0,48.0,74.25
492620,přijat na základě přijímací zkoušky,1.0,1.13,1.065,58.05,40.0,37.0,77.0,135.05
494390,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.47,1.53,1.5,45.0,26.0,20.0,46.0,91.0
495581,přijat na základě přijímací zkoušky,1.25,1.24,1.245,52.65,27.0,38.0,65.0,117.65
496448,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,2.36,2.27,2.315,20.55,11.0,15.0,26.0,46.55
497225,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.63,1.53,1.58,42.6,22.0,22.0,44.0,86.6
498153,nepřijat pro nedostačující kapacitu oboru,1.6,1.33,1.465,46.05,16.0,28.0,44.0,90.05
498453,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.41,1.73,1.57,42.9,7.0,23.0,30.0,72.9
501463,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,2.0,1.36,1.68,39.6,50.0,33.0,83.0,122.6
503118,přijat na základě přijímací zkoušky,1.06,1.0,1.03,59.1,40.0,39.0,79.0,138.1
503206,přijat na základě přijímací zkoušky,1.29,1.27,1.28,51.6,29.0,23.0,52.0,103.6
503274,přijat na základě přijímací zkoušky,1.41,1.4,1.405,47.85,34.0,22.0,56.0,103.85
503360,nepřijat pro nedostačující kapacitu oboru,1.59,1.47,1.53,44.1,14.0,17.0,31.0,75.1
503703,přijat na základě přijímací zkoušky,1.31,1.31,1.31,50.7,32.0,28.0,60.0,110.7
505541,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.0,1.0,1.0,60.0,38.0,38.0,76.0,136.0
506784,nepřijat pro nedostačující kapacitu oboru,2.2,2.13,2.165,25.05,11.0,23.0,34.0,59.05
510124,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,2.57,2.57,2.57,12.9,13.0,26.0,39.0,51.9
511761,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.19,1.25,1.22,53.4,26.0,35.0,61.0,114.4
520029,přijat na základě přijímací zkoušky,1.23,1.56,1.645,40.65,31.0,0.0,31.0,71.65
523646,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,2.19,2.06,2.125,26.25,36.0,25.0,61.0,87.25
523863,přijat na základě přijímací zkoušky,1.44,1.43,1.435,46.95,20.0,34.0,54.0,100.95
