Reg. č.,Výsledek,2. PPřR,1. PPřR,Průměr ZŠ,Body ZŠ,JPZ MA,JPZ ČJ,Celkem JPZ,Celkem PZ
450971,nepřijat pro nedostačující kapacitu oboru,1.75,1.81,1.78,36.6,18.0,35.0,53.0,89.6
451328,přijat na základě přijímací zkoušky,1.0,1.0,1.0,60.0,35.0,31.0,66.0,126.0
451770,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.44,1.44,1.44,46.8,18.0,37.0,55.0,101.8
452757,přijat na základě přijímací zkoušky,1.0,1.0,1.0,60.0,44.0,46.0,90.0,150.0
452904,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.56,1.75,1.655,40.35,27.0,35.0,62.0,102.35
456581,nepřijat pro nedostačující kapacitu oboru,2.13,2.0,2.065,28.05,9.0,0.0,9.0,37.05
458026,přijat na základě přijímací zkoušky,1.63,1.81,1.72,38.4,36.0,35.0,71.0,109.4
458161,nepřijat pro nedostačující kapacitu oboru,1.87,1.67,1.77,36.9,30.0,24.0,54.0,90.9
461221,nepřijat pro nedostačující kapacitu oboru,1.87,1.93,1.9,33.0,31.0,20.0,51.0,84.0
462201,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.79,1.93,1.86,34.2,18.0,20.0,38.0,72.2
462698,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.0,1.07,1.035,58.95,47.0,43.0,90.0,148.95
462765,přijat na základě přijímací zkoušky,1.36,1.29,1.325,50.25,29.0,29.0,58.0,108.25
463553,přijat na základě přijímací zkoušky,1.24,1.13,1.185,54.45,31.0,30.0,61.0,115.45
465956,nepřijat pro nedostačující kapacitu oboru,1.67,1.71,1.69,39.3,18.0,27.0,45.0,84.3
466717,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.0,1.13,1.065,58.05,33.0,41.0,74.0,132.05
467247,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.29,1.46,1.375,48.75,14.0,31.0,45.0,93.75
467510,přijat na základě přijímací zkoušky,1.47,1.44,1.455,46.35,41.0,35.0,76.0,122.35
467858,nepřijat pro nesplnění podmínek přijímacího řízení,1.5,1.56,1.53,44.1,6.0,7.0,13.0,57.1
468109,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.87,1.87,1.87,33.9,25.0,21.0,46.0,79.9
469351,nepřijat pro nedostačující kapacitu oboru,1.6,1.86,1.73,38.1,24.0,14.0,38.0,76.1
469964,nepřijat pro nedostačující kapacitu oboru,1.53,1.33,1.43,47.1,29.0,25.0,54.0,101.1
471226,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,2.19,2.29,2.24,22.8,31.0,23.0,54.0,76.8
471452,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.14,1.0,1.07,57.9,37.0,34.0,71.0,128.9
472497,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.81,1.94,1.875,33.75,26.0,26.0,52.0,85.75
473985,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,2.0,1.88,1.94,31.8,21.0,0.0,21.0,52.8
474994,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.0,1.0,1.0,60.0,37.0,22.0,59.0,119.0
475310,přijat na základě přijímací zkoušky,1.13,1.06,1.095,57.15,26.0,36.0,62.0,119.15
475480,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.19,1.06,1.125,56.25,36.0,33.0,69.0,125.25
476875,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.2,1.13,1.165,55.05,48.0,37.0,85.0,140.05
478015,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.33,1.33,1.33,50.1,23.0,36.0,59.0,109.1
479823,přijat na základě přijímací zkoušky,1.21,1.21,1.21,53.7,37.0,33.0,70.0,123.7
483763,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.77,2.31,2.04,28.8,42.0,43.0,85.0,113.8
487649,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.35,1.31,1.33,50.1,27.0,40.0,67.0,117.1
490079,nepřijat pro nedostačující kapacitu oboru,1.12,1.13,1.125,56.25,16.0,20.0,36.0,92.25
490123,přijat na základě přijímací zkoušky,1.13,1.29,1.21,53.7,48.0,41.0,89.0,142.7
491183,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.27,1.4,1.335,49.95,44.0,36.0,80.0,129.95
491860,přijat na základě přijímací zkoušky,1.2,1.19,1.195,54.15,33.0,36.0,69.0,123.15
492470,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.29,1.2,1.245,52.65,20.0,35.0,55.0,107.65
492739,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.13,1.12,1.125,56.25,30.0,33.0,63.0,119.25
493328,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.21,1.27,1.24,52.8,34.0,36.0,70.0,122.8
494341,nepřijat pro nesplnění podmínek přijímacího řízení,1.56,1.39,1.475,45.75,3.0,24.0,27.0,72.75
494400,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,2.15,1.92,2.035,28.95,34.0,32.0,66.0,94.95
494484,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.0,1.0,1.0,60.0,29.0,47.0,76.0,136.0
494550,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.75,1.44,1.595,42.15,35.0,17.0,52.0,94.15
495617,nepřijat pro nedostačující kapacitu oboru,1.93,1.5,1.715,38.55,17.0,16.0,33.0,71.55
496418,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.63,1.25,1.44,46.8,37.0,29.0,66.0,112.8
497316,přijat na základě přijímací zkoušky,1.15,1.15,1.15,55.5,39.0,47.0,86.0,141.5
500756,přijat na základě přijímací zkoušky,1.3,1.54,1.42,47.4,41.0,0.0,41.0,88.4
501279,nepřijat pro nedostačující kapacitu oboru,1.81,1.7,1.755,37.35,9.0,30.0,39.0,76.35
501463,přijat na základě přijímací zkoušky,2.0,1.36,1.68,39.6,50.0,33.0,83.0,122.6
503118,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.06,1.0,1.03,59.1,40.0,39.0,79.0,138.1
503274,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.41,1.4,1.405,47.85,34.0,22.0,56.0,103.85
505612,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.41,1.67,1.54,43.8,6.0,14.0,20.0,63.8
516238,nepřijat pro nedostačující kapacitu oboru,1.71,1.64,1.675,39.75,23.0,23.0,46.0,85.75
