Reg. č.;Výsledek;Body ZŠ;JPZ MA;JPZ ČJ;Celkem JPZ;Celkem PZ;2. PPřR;1. PPoR;Průměr ZŠ
459897;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;36.75;20.0;33.0;53.0;89.75;1.5;1.56;1.53
460763;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;44.5;16.0;34.0;50.0;94.5;1.25;1.18;1.22
464262;přijat na základě přijímací zkoušky;35.5;24.0;17.0;41.0;76.5;1.6;1.56;1.58
464859;nepřijat pro nedostačující kapacitu oboru;28.75;19.0;27.0;46.0;74.75;1.87;1.82;1.85
465204;nepřijat pro nedostačující kapacitu oboru;38.75;10.0;25.0;35.0;73.75;1.56;1.33;1.45
468165;přijat na základě přijímací zkoušky;48.5;30.0;42.0;72.0;120.5;1.06;1.06;1.06
469050;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;45.75;22.0;19.0;41.0;86.75;1.27;1.06;1.17
469309;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;25.0;15.0;30.0;45.0;70.0;2.18;1.82;2.0
470185;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;42.5;21.0;32.0;53.0;95.5;1.31;1.29;1.3
470982;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;38.5;14.0;23.0;37.0;75.5;1.47;1.44;1.46
471436;přijat na základě přijímací zkoušky;32.75;24.0;28.0;52.0;84.75;1.81;1.56;1.69
473809;přijat na základě přijímací zkoušky;47.25;43.0;41.0;84.0;131.25;1.14;1.07;1.11
474179;přijat na základě přijímací zkoušky;39.75;28.0;33.0;61.0;100.75;1.44;1.38;1.41
475576;přijat na základě přijímací zkoušky;44.0;10.0;34.0;44.0;88.0;1.19;1.28;1.24
476184;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;42.75;21.0;25.0;46.0;88.75;1.27;1.31;1.29
477518;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;50.0;33.0;36.0;69.0;119.0;1.0;1.0;1.0
477671;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;46.0;21.0;26.0;47.0;93.0;1.18;1.13;1.16
477975;přijat na základě přijímací zkoušky;38.25;20.0;28.0;48.0;86.25;1.6;1.33;1.47
478728;nepřijat pro nedostačující kapacitu oboru;28.25;13.0;20.0;33.0;61.25;2.06;1.67;1.87
480689;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;31.5;7.0;11.0;18.0;49.5;1.81;1.67;1.74
481566;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;36.25;23.0;38.0;61.0;97.25;1.63;1.47;1.55
482660;přijat na základě přijímací zkoušky;35.75;18.0;31.0;49.0;84.75;1.6;1.53;1.57
483773;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;41.75;31.0;24.0;55.0;96.75;1.4;1.25;1.33
485035;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;41.5;31.0;36.0;67.0;108.5;1.27;1.4;1.34
490131;přijat na základě přijímací zkoušky;46.25;39.0;45.0;84.0;130.25;1.29;1.0;1.15
490861;přijat na základě přijímací zkoušky;50.0;41.0;39.0;80.0;130.0;1.0;1.0;1.0
492660;přijat na základě přijímací zkoušky;49.25;27.0;42.0;69.0;118.25;1.0;1.06;1.03
493125;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;42.0;27.0;28.0;55.0;97.0;1.31;1.33;1.32
493621;přijat na základě přijímací zkoušky;32.75;22.0;32.0;54.0;86.75;1.71;1.67;1.69
495344;přijat na základě přijímací zkoušky;21.0;17.0;40.0;57.0;78.0;2.57;1.75;2.16
496355;přijat na základě přijímací zkoušky;39.75;19.0;29.0;48.0;87.75;1.41;1.4;1.41
496623;přijat na základě přijímací zkoušky;46.25;29.0;0.0;29.0;75.25;1.0;1.29;1.15
498502;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;18.75;32.0;39.0;71.0;89.75;2.29;2.21;2.25
499293;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;44.25;25.0;34.0;59.0;103.25;1.18;1.27;1.23
501736;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;43.0;20.0;30.0;50.0;93.0;1.31;1.24;1.28
