Reg. č.;Výsledek;Body ZŠ;JPZ MA;JPZ ČJ;Celkem JPZ;Celkem PZ;2. PPřR;1. PPoR;Průměr ZŠ
485937;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;26.5;11.0;0.0;11.0;37.5;1.94;1.94;1.94
498316;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;36.25;7.0;26.0;33.0;69.25;1.63;1.47;1.55
500877;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;33.25;14.0;21.0;35.0;68.25;1.75;1.59;1.67
502165;nepřijat pro nesplnění podmínek přijímacího řízení;35.0;4.0;16.0;20.0;55.0;1.4;1.79;1.6
503411;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;44.25;16.0;31.0;47.0;91.25;1.18;1.27;1.23
504770;nepřijat pro nesplnění podmínek přijímacího řízení;4.0;6.0;18.0;24.0;20.0;3.06;3.25;3.16
507465;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;40.5;18.0;26.0;44.0;84.5;1.38;1.38;1.38
510061;přijat na základě přijímací zkoušky;33.5;10.0;18.0;28.0;61.5;1.5;1.81;1.66
511060;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;50.0;39.0;28.0;67.0;117.0;1.0;1.0;1.0
516979;přijat na základě přijímací zkoušky;23.25;10.0;19.0;29.0;52.25;2.13;2.0;2.07
518016;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;38.0;18.0;39.0;57.0;95.0;1.43;1.53;1.48
518589;přijat na základě přijímací zkoušky;39.75;13.0;33.0;46.0;85.75;1.38;1.44;1.41
520574;přijat na základě přijímací zkoušky;36.75;10.0;16.0;26.0;62.75;1.53;1.53;1.53
521091;přijat na základě přijímací zkoušky;45.25;13.0;34.0;47.0;92.25;1.19;1.19;1.19
521917;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;35.75;22.0;29.0;51.0;86.75;1.63;1.5;1.57
528454;přijat na základě přijímací zkoušky;27.25;8.0;17.0;25.0;52.25;2.0;1.81;1.91
