Reg. č.;Výsledek;Body ZŠ;JPZ MA;JPZ ČJ;Celkem JPZ;Celkem PZ;2. PPřR;1. PPoR;Průměr ZŠ
489494;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;35.75;26.0;25.0;51.0;86.75;1.5;1.64;1.57
489575;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;34.75;9.0;32.0;41.0;75.75;1.56;1.65;1.61
489946;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;31.0;40.0;37.0;77.0;108.0;1.81;1.71;1.76
492353;přijat na základě přijímací zkoušky;45.5;37.0;46.0;83.0;128.5;1.18;1.18;1.18
496073;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;40.0;14.0;27.0;41.0;81.0;1.36;1.43;1.4
499120;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;47.75;44.0;36.0;80.0;127.75;1.12;1.06;1.09
502172;přijat na základě přijímací zkoušky;37.0;19.0;36.0;55.0;92.0;1.63;1.41;1.52
503162;přijat na základě přijímací zkoušky;26.5;13.0;21.0;34.0;60.5;2.13;1.75;1.94
503411;přijat na základě přijímací zkoušky;44.25;16.0;31.0;47.0;91.25;1.18;1.27;1.23
506007;přijat na základě přijímací zkoušky;34.25;27.0;31.0;58.0;92.25;1.5;1.76;1.63
507465;přijat na základě přijímací zkoušky;40.5;18.0;26.0;44.0;84.5;1.38;1.38;1.38
508008;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;46.75;18.0;27.0;45.0;91.75;1.13;1.13;1.13
508054;přijat na základě přijímací zkoušky;32.0;10.0;17.0;27.0;59.0;1.69;1.75;1.72
509162;přijat na základě přijímací zkoušky;21.75;7.0;27.0;34.0;55.75;2.19;2.06;2.13
512426;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;46.75;39.0;28.0;67.0;113.75;1.13;1.13;1.13
521322;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;21.25;14.0;30.0;44.0;65.25;2.36;1.93;2.15
522376;přijat na základě přijímací zkoušky;31.75;10.0;16.0;26.0;57.75;1.65;1.8;1.73
527124;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;30.0;28.0;36.0;64.0;94.0;1.88;1.71;1.8
528581;přijat na základě přijímací zkoušky;31.0;22.0;26.0;48.0;79.0;1.63;1.88;1.76
528879;nepřijat pro nesplnění podmínek přijímacího řízení;0.25;7.0;8.0;15.0;15.25;2.86;2.87;2.87
