prijmeni;jmeno;trida;skola_izo;skola_zkr;skola_nazev
c7254;23dae;1.S ;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
0e5b0;c1f90;1.S ;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
89e98;126a6;1.S ;47466928;ZŠRudník;ZŠ a MŠ Rudník, okres Trutnov
3b39d;3c11f;1.ST;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
7aeee;c714b;1.ST;117900729;ZŠŠk.Vr 1336;Základní škola, Vrchlabí, Školní 1336
3c6db;f572a;1.ST;49290576;ZŠaZUŠRtyněvPod.;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší, Rtyně v Podkrkonoší, Školní 662
52657;210fd;1.ST;102590061;ZŠBerna;Základní škola a Mateřská škola, Bertartice, okres Trutnov
22a72;bc280;1.ST;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
7eccc;ddd0a;1.ST;102454019;ZŠStudenec;Základní škola a Mateřská škola, Studenec, okres Semily, příspěvková organizace
2508e;5d314;1.ST;102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
14c2c;d3e86;1.ST;60152885;ZŠBuky;Základní škola a mateřská škola, Mladé Buky 160
bc299;cf043;1.ST;49290576;ZŠaZUŠRtyněvPod.;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší, Rtyně v Podkrkonoší, Školní 662
3f8cc;1122c;1.ST;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
40002;4b0b0;1.ST;15037789;Gymn.+SOŠÚpice;Městské gymnázium a střední odborná škola Úpice, Úpice, Havlíčkova 812
58891;970fc;1.ST;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
67e58;78ffa;1.ST;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
e2f6e;e234e;1.ST;43462448;ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130
e00cf;3d4a8;1.ST;60154691;ZŠPodharťDv.Kr.;Základní škola Podharť, Dvůr Králové nad Labem, Máchova 884
5846d;ff504;1.ST;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
aee13;5f59c;1.ST;102578371;ZŠPilní;Základní škola a Mateřská škola, Pilníkov, okres Trutnov
bae96;f026e;1.ST;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
a9ec9;22806;1.ST;60153393;Gymn.DKnL;Gymnázium, Dvůr Králové nad Labem
fbbec;9f55e;1.ST;102578460;ZŠ5.května;Základní škola 5. května, Dvůr Králové nad Labem, 28. října 731, okres Trutnov
10c3a;e3748;1.ST;102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
9f818;13312;1.ST;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
32f94;c92a5;1.ST;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
26607;a3f9d;1.ST;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
d7f82;0cda0;1.ST;15037789;Gymn.+SOŠÚpice;Městské gymnázium a střední odborná škola Úpice, Úpice, Havlíčkova 812
2a54d;1d372;1.ST;60154730;ZŠStržDv.Kr.;Základní škola Strž, Dvůr Králové nad Labem, Elišky Krásnohorské 2919
827aa;3105c;1.ST;47466928;ZŠRudník;ZŠ a MŠ Rudník, okres Trutnov
e5074;a6684;1.ST;102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
