prijmeni;jmeno;trida;skola_izo;skola_zkr;skola_nazev
20b9a;79220;1.EP;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
9113a;01b08;1.EP;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
e5202;c57ee;1.EP;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
85b01;ec909;1.EP;60153237;Gymn.Trutnov;Gymnázium, Trutnov, Jiráskovo náměstí 325
cc03b;a4e99;1.EP;43462448;ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130
252ef;2ee0a;1.EP;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
850f3;a16ca;1.EP;47466928;ZŠRudník;ZŠ a MŠ Rudník, okres Trutnov
e814d;864fb;1.EP;102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
8063b;dc0e3;1.EP;60154730;ZŠStržDv.Kr.;Základní škola Strž, Dvůr Králové nad Labem, Elišky Krásnohorské 2919
396dc;73c4e;1.EP;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
5bc07;3d24b;1.EP;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
d0335;d11a1;1.EP;102590044;ZŠŽacléř;Základní škola, Žacléř, J. A. Komenského 339
aa03e;e6906;1.EP;102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
40817;072bf;1.EP;49290266;ZŠMaršo;Základní škola a Mateřská škola, Horní Maršov, okres Trutnov
4f92f;96bb5;1.EP;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
106a5;2ea71;1.EP;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
bc2d8;31c8a;1.EP;47466928;ZŠRudník;ZŠ a MŠ Rudník, okres Trutnov
3c6a0;2cb21;1.EP;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
a07ef;6429e;1.EP;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
710c3;1be5d;1.EP;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
7cbd7;6f1af;1.EP;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
58999;62ae4;1.EP;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
02dd9;528bf;1.EP;102254885;ZŠTepl.n.Met.;Základní škola a Mateřská škola, Teplice nad Metují, Rooseveltova 106
7b171;4d513;1.EP;102254702;ZŠ a MŠ Hronov;Základní škola a Mateřská škola Hronov
d7d6e;7c3b0;1.EP;60154691;ZŠPodharťDv.Kr.;Základní škola Podharť, Dvůr Králové nad Labem, Máchova 884
0ddb9;0fa61;1.EP;102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
92415;c75ea;1.EP;401170;Gymn+SŠPedNovPaka;Gymnázium a Střední odborná škola pedagogická, Nová Paka, Kumburská 740
ccbec;a2f64;1.EP;102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
1b9a0;eb664;1.EP;102578923;ZŠLány;Základní škola Úpice - Lány, Úpice, Palackého 793
127b1;96f55;1.EP;102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
63111;c271d;1.IT;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
ed128;de69a;1.IT;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
4583b;21d66;1.IT;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
ff28f;2df53;1.IT;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
46e1e;10cbe;1.IT;102254869;ZŠNáchKom;ZŠ Náchod, Komenského 425
a20cd;e365d;1.IT;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
fa589;28b9d;1.IT;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
c8830;24882;1.IT;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
b4e68;751c8;1.IT;102578435;ZŠBíl.T;Základní škola a Mateřská škola, Bílá Třemešná, okres Trutnov
d8fed;db633;1.IT;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
4f330;268c9;1.IT;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
da0bb;dfbe8;1.IT;60153245;Gymn.+SOŠVrchlabí;Krkonošské gymnázium a Střední odborná škola, Vrchlabí, Komenského 586
0679e;f0519;1.IT;102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
b44cf;746d2;1.IT;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
1e9ea;78aa6;1.IT;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
b4c49;ea5db;1.IT;60153245;Gymn.+SOŠVrchlabí;Krkonošské gymnázium a Střední odborná škola, Vrchlabí, Komenského 586
89778;b368d;1.IT;102578371;ZŠPilní;Základní škola a Mateřská škola, Pilníkov, okres Trutnov
a18b2;27a05;1.IT;60152885;ZŠBuky;Základní škola a mateřská škola, Mladé Buky 160
b78e2;a1e29;1.IT;102578371;ZŠPilní;Základní škola a Mateřská škola, Pilníkov, okres Trutnov
5ee88;7fd19;1.IT;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
aebe5;2b040;1.IT;102254575;ZŠStárkov;Základní škola a Mateřská škola Stárkov
ac27a;890c4;1.IT;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
0b8bd;a514c;1.IT;43462448;ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130
bea5a;aa16a;1.IT;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
677f7;8f7a5;1.IT;102590044;ZŠŽacléř;Základní škola, Žacléř, J. A. Komenského 339
7dc35;b3d53;1.IT;102590061;ZŠBerna;Základní škola a Mateřská škola, Bertartice, okres Trutnov
0e725;f3be7;1.IT;102254885;ZŠTepl.n.Met.;Základní škola a Mateřská škola, Teplice nad Metují, Rooseveltova 106
422af;092f1;1.IT;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
0708b;96a85;1.IT;102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
dd9b7;0be38;1.S ;49290649;ZŠSvato;Základní škola Malé Svatoňovice, 17. listopadu 178
c5bce;42f5e;1.S ;117900729;ZŠŠk.Vr 1336;Základní škola, Vrchlabí, Školní 1336
18201;09022;1.S ;60153245;Gymn.+SOŠVrchlabí;Krkonošské gymnázium a Střední odborná škola, Vrchlabí, Komenského 586
f67e7;7852a;1.S ;60153393;Gymn.DKnL;Gymnázium, Dvůr Králové nad Labem
760b9;5a933;1.S ;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
20e71;b82cd;1.S ;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
18f03;0e785;1.S ;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
dfb6d;e0068;1.S ;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
dcc33;1ad26;1.S ;49290576;ZŠaZUŠRtyněvPod.;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší, Rtyně v Podkrkonoší, Školní 662
c95d7;aed26;1.S ;102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
feb75;37739;1.S ;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
da91c;c00e0;1.S ;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
624b1;66b81;1.S ;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
dc87f;e6310;1.S ;150059868;ZŠVeliš;Základní škola Bodláka a Pampelišky, o.p.s., Veliš, č.p. 40
478cd;2255a;1.S ;49290649;ZŠSvato;Základní škola Malé Svatoňovice, 17. listopadu 178
62fa5;8fa40;1.S ;102254885;ZŠTepl.n.Met.;Základní škola a Mateřská škola, Teplice nad Metují, Rooseveltova 106
be436;43d8a;1.S ;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
974a8;d5214;1.S ;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
76f36;25545;1.S ;117900729;ZŠŠk.Vr 1336;Základní škola, Vrchlabí, Školní 1336
73ae9;e3d55;1.S ;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
18443;74af4;1.S ;102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
c2a8b;15db5;1.S ;102578923;ZŠLány;Základní škola Úpice - Lány, Úpice, Palackého 793
16b1e;4b666;1.S ;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
99750;7e08d;1.S ;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
a033a;c1f18;1.S ;102590044;ZŠŽacléř;Základní škola, Žacléř, J. A. Komenského 339
