název díla;autor;oblast;originální jazyk
Obsluhoval jsem anglického krále;Bohumil Hrabal;Česká literatura 20. a 21. století;chyba
Ocelové město;Jules Verne;Světová a česká literatura 19. století;chyba
Oddanost;Debbie Beckermanová;Světová literatura 20. a 21. století;chyba
Oheň;Henri Barbusse;Světová literatura 20. a 21. století;chyba
Ostře sledované vlaky;Bohumil Hrabal;Česká literatura 20. a 21. století;chyba
Osudy dobrého vojáka Švejka za světové války;Jaroslav Hašek;Česká literatura 20. a 21. století;chyba
Otec Goriot;Honoré de Balzac;Světová a česká literatura 19. století;chyba
Othello;William Shakespeare;Světová a česká literatura do konce 18. století;chyba
Pán prstenů;J. R. R. Tolkien;Světová literatura 20. a 21. století;chyba
Pan Theodor Mundstock;Ladislav Fuks;Česká literatura 20. a 21. století;chyba
Pantomima;Vítězslav Nezval;Česká literatura 20. a 21. století;chyba
Percy Jackson;Rick Riordan;Světová literatura 20. a 21. století;chyba
Perla;John Steinbeck;Světová literatura 20. a 21. století;chyba
Petr a Lucie;Romain Rolland;Světová literatura 20. a 21. století;chyba
Petrolejové lampy;Jaroslav Havlíček;Česká literatura 20. a 21. století;chyba
Po nás ať přijde potopa;František Gellner;Česká literatura 20. a 21. století;chyba
Pod kupolí;Stephen King;Světová literatura 20. a 21. století;chyba
Podkoní a žák;;Světová a česká literatura do konce 18. století;chyba
Post bellum 1866;Vladimír Körner;Česká literatura 20. a 21. století;chyba
Postřižiny;Bohumil Hrabal;Česká literatura 20. a 21. století;chyba
Povídky malostranské;Jan Neruda;Světová a česká literatura 19. století;chyba
Povídky nejen o psech;Jan Werich;Česká literatura 20. a 21. století;chyba
Prima sezona;Josef Škvorecký;Česká literatura 20. a 21. století;chyba
Proces;Franz Kafka;Česká literatura 20. a 21. století;chyba
Proměna;Franz Kafka;Česká literatura 20. a 21. století;chyba
Pygmalion;George Bernard Shaw;Světová literatura 20. a 21. století;chyba
Pýcha a předsudek;Jane Austenová;Světová a česká literatura 19. století;chyba
R.U.R.;Karel Čapek;Česká literatura 20. a 21. století;chyba
Radúz a Mahulena;Julius Zeyer;Světová a česká literatura 19. století;chyba
Revizor;Nikolaj Vasiljevič Gogol;Světová a česká literatura 19. století;chyba
Robinson Crusoe;Daniel Defoe;Světová a česká literatura do konce 18. století;chyba
Romeo a Julie;William Shakespeare;Světová a česká literatura do konce 18. století;chyba
Romeo, Julie a tma;Jan Otčenášek;Česká literatura 20. a 21. století;chyba
Rozmarné léto;Vladislav Vančura;Česká literatura 20. a 21. století;chyba
Saturnin;Zdeněk Jirotka;Česká literatura 20. a 21. století;chyba
Sbohem, armádo ;Ernest Hemingway;Světová literatura 20. a 21. století;chyba
Skaláci;Alois Jirásek;Světová a česká literatura 19. století;chyba
Sluha dvou pánů;Carlo Goldoni;Světová a česká literatura do konce 18. století;chyba
Směšné lásky;Milan Kundera;Česká literatura 20. a 21. století;chyba
Smrt je mým řemeslem;Robert Merle;Světová literatura 20. a 21. století;chyba
Smrt krásných srnců;Ota Pavel;Česká literatura 20. a 21. století;chyba
Sophiina volba;William Styron;Světová literatura 20. a 21. století;chyba
Spalovač mrtvol;Ladislav Fuks;Česká literatura 20. a 21. století;chyba
Staré řecké báje a pověsti;Eduard Petiška;Světová a česká literatura do konce 18. století;chyba
Stařec a moře;Ernest Hemingway;Světová literatura 20. a 21. století;chyba
Stín kapradiny;Josef Čapek;Česká literatura 20. a 21. století;chyba
Strakonický dudák;Josef Kajetán Tyl;Světová a česká literatura 19. století;chyba
Šifra mistra Leonarda;Dan Brown;Světová literatura 20. a 21. století;chyba
Tajuplný ostrov;Jules Verne;Světová a česká literatura 19. století;chyba
Tankový prapor;Josef Škvorecký;Česká literatura 20. a 21. století;chyba
Tartuffe;Moliére;Světová a česká literatura do konce 18. století;chyba
Těžká hodina;Jiří Wolker;Česká literatura 20. a 21. století;chyba
To;Stephen King;Světová literatura 20. a 21. století;chyba
Továrna na absolutno;Karel Čapek;Česká literatura 20. a 21. století;chyba
Tři kamarádi;Erich Maria Remarque;Světová literatura 20. a 21. století;chyba
Tulák po hvězdách;Jack London;Světová a česká literatura 19. století;chyba
Tyrolské elegie;Karel Havlíček Borovský;Světová a česká literatura 19. století;chyba
Ubožáci / Bídníci;Victor Hugo;Světová a česká literatura 19. století;chyba
V zámku a podzámčí;Božena Němcová;Světová a česká literatura 19. století;chyba
Válečná nevěsta;Jiří S. Kupka;Česká literatura 20. a 21. století;chyba
Válka s mloky;Karel Čapek;Česká literatura 20. a 21. století;chyba
Velký Gatsby;Francis Scott Fitzgerald;Světová literatura 20. a 21. století;chyba
Vita Caroli;Karel IV.;Světová a česká literatura do konce 18. století;chyba
Volání Cthulhu;H. P. Lovecraft;Světová literatura 20. a 21. století;chyba
Vyhnání Gerty Schnirch;Kateřina Tučková;Česká literatura 20. a 21. století;chyba
Vyhoďme ho z kola ven;Ken Elton Kesey;Světová literatura 20. a 21. století;chyba
Výminkáři;Karel Václav Rais;Světová a česká literatura 19. století;chyba
Vypravěčka;Jodi Picoultová;Světová literatura 20. a 21. století;chyba
Zabiják;Emile Zola;Světová a česká literatura 19. století;chyba
Zaklínač;Andrzey Sapkowski;Světová literatura 20. a 21. století;chyba
Zapadlí vlastenci;Karel Václav Rais;Světová a česká literatura 19. století;chyba
Záskok;Ladislav Smoljak, Zdeněk Svěrák;Česká literatura 20. a 21. století;chyba
Zbabělci;Josef Škvorecký;Česká literatura 20. a 21. století;chyba
Zdravý nemocný;Moliére;Světová a česká literatura do konce 18. století;chyba
Ze Země na Měsíc;Jules Verne;Světová a česká literatura 19. století;chyba
Ze života hmyzu;Karel Čapek;Česká literatura 20. a 21. století;chyba
Zkrocení zlé ženy;William Shakespeare;Světová a česká literatura do konce 18. století;chyba
Zlodějka knih;Markus Zusak;Světová literatura 20. a 21. století;chyba
Žhář;Egon Hostovský;Česká literatura 20. a 21. století;chyba
