prijmeni;jmeno;trida;skola_izo;skola_zkr;skola_nazev
2a3fc;de2ea;1.EP;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
947a7;14b29;1.EP;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
9ae15;cad2b;1.EP;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
536ce;c2bea;1.EP;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
b063f;f8b19;1.EP;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
dd645;cfc3a;1.EP;102442878;ZŠJilemKom;Základní škola Jilemnice, Komenského 288
0dbad;9f88d;1.EP;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
99876;a0802;1.EP;60153237;Gymn.Trutnov;Gymnázium, Trutnov, Jiráskovo náměstí 325
4f4b9;ba8d4;1.EP;102454019;ZŠStudenec;Základní škola a Mateřská škola, Studenec, okres Semily, příspěvková organizace
b30b5;e8af0;1.EP;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
68a2c;b3e82;1.EP;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
c330f;0bfbf;1.EP;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
79061;fbcb9;1.EP;102442878;ZŠJilemKom;Základní škola Jilemnice, Komenského 288
69133;7ff28;1.EP;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
f4fd1;d37a8;1.EP;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
cf8c2;0bcd8;1.EP;102442797;ZŠHorníBranná;Základní škola a Mateřská škola Josefa Šíra, Horní Branná, příspěvková organizace, Horní Branná, č.p. 257
72d90;1332b;1.EP;999999196;Kypr;zahraniční škola: Kyperská republika
9cc0b;dc469;1.EP;117900729;ZŠŠk.Vr 1336;Základní škola, Vrchlabí, Školní 1336
304e4;ce996;1.EP;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
bf5d0;ecc61;1.EP;102442878;ZŠJilemKom;Základní škola Jilemnice, Komenského 288
14aad;0ce81;1.EP;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
fdc12;88c19;1.EP;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
22455;b25f8;1.EP;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
6984a;c7853;1.EP;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
b38dc;e645b;1.EP;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
c419e;861fd;1.EP;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
51834;ce9c4;1.EP;102454019;ZŠStudenec;Základní škola a Mateřská škola, Studenec, okres Semily, příspěvková organizace
d4725;b5f18;1.EP;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
cee9a;bb328;1.EP;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
2166b;364aa;1.EP;102254991;ZšaMŠChvalkovice;Základní a mateřská škola, Chvalkovice
18772;71d21;1.IT;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
57311;c7571;1.IT;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
aff80;3bb5a;1.IT;102578435;ZŠBíl.T;Základní škola a Mateřská škola, Bílá Třemešná, okres Trutnov
c02a0;ec849;1.IT;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
10ab1;6aaf7;1.IT;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
a1ac2;e2681;1.IT;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
1ecff;8198b;1.IT;49290266;ZŠMaršo;Základní škola a Mateřská škola, Horní Maršov, okres Trutnov
e8348;3d2dc;1.IT;102578435;ZŠBíl.T;Základní škola a Mateřská škola, Bílá Třemešná, okres Trutnov
0c964;1e01d;1.IT;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
38e42;b5cf5;1.IT;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
c7ee8;49485;1.IT;117900729;ZŠŠk.Vr 1336;Základní škola, Vrchlabí, Školní 1336
72dea;e2ad4;1.IT;102578753;ZŠŠ.Mlý;Základní škola, Špindlerův Mlýn 32, okres Trutnov
28c0a;7488b;1.IT;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
f1f9f;fa697;1.IT;102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
7f9f9;86704;1.IT;43462448;ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130
e79c9;67cfa;1.IT;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
e8860;22c09;1.IT;102590061;ZŠBerna;Základní škola a Mateřská škola, Bertartice, okres Trutnov
7454a;ad074;1.IT;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
c6d0c;21783;1.IT;117900729;ZŠŠk.Vr 1336;Základní škola, Vrchlabí, Školní 1336
23957;b5201;1.IT;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
07d52;76f7a;1.IT;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
d5e9b;c60a0;1.IT;117900729;ZŠŠk.Vr 1336;Základní škola, Vrchlabí, Školní 1336
9a23c;497c9;1.IT;102190968;ZŠOstroměř;Základní škola Eduarda Štorcha a mateřská škola Ostroměř
c5079;7ed38;1.IT;102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
f6216;ba2b4;1.IT;47463996;ZŠBří.Ú;Základní škola Bratří Čapků, Úpice, Komenského 151
ce0af;80a98;1.IT;102578923;ZŠLány;Základní škola Úpice - Lány, Úpice, Palackého 793
f5884;a7b5a;1.IT;102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
af883;69dc6;1.IT;102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
8ded4;b3caf;1.IT;49290649;ZŠSvato;Základní škola Malé Svatoňovice, 17. listopadu 178
568e6;d024c;1.IT;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
b8d66;10c06;1.S ;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
f818c;b083d;1.S ;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
b3efa;14a25;1.S ;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
4d793;8d1f8;1.S ;117900729;ZŠŠk.Vr 1336;Základní škola, Vrchlabí, Školní 1336
3350c;e107a;1.S ;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
90963;c07f8;1.S ;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
19dd3;14d0a;1.S ;102254737;ZŠJaroměřNaOstr;Základní škola Jaroměř, Na Ostrově 4, okres Náchod
005c4;833bd;1.S ;102254958;ZŠPolice;ZŠ Police nad Metují
b4e4c;f1ef5;1.S ;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
f55b6;02732;1.S ;47463996;ZŠBří.Ú;Základní škola Bratří Čapků, Úpice, Komenského 151
ae060;63240;1.S ;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
feb6e;b223b;1.S ;102254885;ZŠTepl.n.Met.;Základní škola a Mateřská škola, Teplice nad Metují, Rooseveltova 106
38aae;7c5b7;1.S ;102254869;ZŠNáchKom;ZŠ Náchod, Komenského 425
63de6;02474;1.S ;102578532;ZŠDubenec;Základní škola Dukelských bojovníků a mateřská škola, Dubenec
431c3;6532b;1.S ;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
c8021;d13f0;1.S ;60114011;ZŠPecka;Základní škola a Mateřská škola, Pecka, okres Jičín
4144f;4a68f;1.S ;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
ddef9;1931c;1.S ;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
69d65;be12a;1.S ;47466928;ZŠRudník;ZŠ a MŠ Rudník, okres Trutnov
57e87;78f33;1.S ;102254737;ZŠJaroměřNaOstr;Základní škola Jaroměř, Na Ostrově 4, okres Náchod
c290f;6c241;1.S ;102578371;ZŠPilní;Základní škola a Mateřská škola, Pilníkov, okres Trutnov
1569b;1c157;1.S ;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
7249f;a85e3;1.S ;102254737;ZŠJaroměřNaOstr;Základní škola Jaroměř, Na Ostrově 4, okres Náchod
9142a;05d64;1.S ;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
938a7;b2520;1.S ;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
f2d7c;1a0f5;1.S ;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
21917;64801;1.S ;60154730;ZŠStržDv.Kr.;Základní škola Strž, Dvůr Králové nad Labem, Elišky Krásnohorské 2919
d24b2;68bd1;1.S ;102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
83dbf;c4315;1.S ;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
c300e;63618;1.S ;60152885;ZŠBuky;Základní škola a mateřská škola, Mladé Buky 160
0311e;606a8;1.ST;102590044;ZŠŽacléř;Základní škola, Žacléř, J. A. Komenského 339
74a49;26f00;1.ST;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
d9d81;5bd61;1.ST;102254681;ZŠVelPoříčí;Základní škola Velké Poříčí, okres Náchod
836c6;ac3bd;1.ST;102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
ea26d;1a9b6;1.ST;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
941f8;a5886;1.ST;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
1f939;56c85;1.ST;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
c7545;0193f;1.ST;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
61bf4;11735;1.ST;102590061;ZŠBerna;Základní škola a Mateřská škola, Bertartice, okres Trutnov
4d31d;96a00;1.ST;47466928;ZŠRudník;ZŠ a MŠ Rudník, okres Trutnov
b146b;bb2bd;1.ST;102578672;ZŠRadvanice;Základní škola a Mateřská škola, Radvanice, okres Trutnov
64d11;ff182;1.ST;47466928;ZŠRudník;ZŠ a MŠ Rudník, okres Trutnov
f9f4e;f2301;1.ST;43462448;ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130
c82fe;bd948;1.ST;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
ed99f;e6f09;1.ST;102578371;ZŠPilní;Základní škola a Mateřská škola, Pilníkov, okres Trutnov
204a8;41815;1.ST;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
1a6bc;01f65;1.ST;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
4749f;2d6a8;1.ST;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
4514e;0bb36;1.ST;117900729;ZŠŠk.Vr 1336;Základní škola, Vrchlabí, Školní 1336
640c7;e3159;1.ST;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
edbf0;96d88;1.ST;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
ed442;5f969;1.ST;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
08181;3afe7;1.ST;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
8ac7c;1986d;1.ST;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
2e064;07421;1.ST;102578648;ZŠaMŠ Mostek;Základní a mateřská škola Mostek
c3dd6;cb290;1.ST;47463996;ZŠBří.Ú;Základní škola Bratří Čapků, Úpice, Komenského 151
0ab56;0b4ec;1.ST;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
33e8d;cd240;1.ST;102254591;ZŠaMŠ Hořičky;Základní škola a mateřská škola Hořičky
a918c;574d8;1.ST;60154691;ZŠPodharťDv.Kr.;Základní škola Podharť, Dvůr Králové nad Labem, Máchova 884
1531b;1c170;1.ST;47463996;ZŠBří.Ú;Základní škola Bratří Čapků, Úpice, Komenského 151
