id,prospech_a_souteze,prijimacky_cestina,prijimacky_matematika,prijimacky_celkem,body_celkem,prijat
10,52.95,39,43,82,134.95,True
79,52.50,37,42,79,131.50,True
12,44.40,40,45,85,129.40,True
2,54.90,35,38,73,127.90,True
217,60.00,36,31,67,127.00,True
73,56.85,32,38,70,126.85,True
81,52.05,41,31,72,124.05,True
92,57.90,37,29,66,123.90,True
4,47.70,37,39,76,123.70,True
31,51.00,35,33,68,119.00,True
211,45.90,32,40,72,117.90,True
11,57.90,34,26,60,117.90,True
120,49.95,34,33,67,116.95,True
99,49.65,32,35,67,116.65,True
49,50.25,29,36,65,115.25,True
228,48.00,31,28,59,107.00,True
143,42.45,27,35,62,104.45,True
27,38.10,33,33,66,104.10,True
301,39.45,29,35,64,103.45,True
72,53.40,29,21,50,103.40,True
279,38.10,32,32,64,102.10,True
126,37.05,31,33,64,101.05,True
8,40.35,32,27,59,99.35,True
218,46.95,25,27,52,98.95,True
63,48.15,29,20,49,97.15,True
28,50.10,26,21,47,97.10,True
137,31.80,28,36,64,95.80,True
208,39.75,28,28,56,95.75,True
230,49.05,26,19,45,94.05,True
16,31.80,28,34,62,93.80,True
53,39.00,37,17,54,93.00,False
140,35.70,31,26,57,92.70,False
315,42.30,21,28,49,91.30,False
303,37.80,0,25,0,89.35,False
258,40.35,23,26,49,89.35,False
267,45.90,23,19,42,87.90,False
122,31.05,33,22,55,86.05,False
97,39.00,33,13,46,85.00,False
25,39.60,30,15,45,84.60,False
191,32.70,21,30,51,83.70,False
212,42.45,25,16,41,83.45,False
240,32.85,32,17,49,81.85,False
94,41.40,21,19,40,81.40,False
114,46.95,22,12,34,80.95,False
203,36.00,28,16,44,80.00,False
111,42.00,23,12,35,77.00,False
98,34.80,23,18,41,75.80,False
242,40.80,14,19,33,73.80,False
226,39.30,20,13,33,72.30,False
192,37.50,17,16,33,70.50,False
106,39.45,18,13,31,70.45,False
227,33.90,22,12,34,67.90,False
59,33.90,21,8,29,62.90,False
304,34.80,0,10,0,61.90,False
118,45.90,11,5,16,61.90,False
275,30.00,17,10,27,57.00,False
233,23.40,14,19,33,56.40,False
197,25.95,19,10,29,54.95,False
142,20.55,16,4,20,40.55,False
