id,prospech_a_souteze,prijimacky_cestina,prijimacky_matematika,prijimacky_celkem,body_celkem,prijat
65,55.35,36,49,85,140.35,True
76,5025,34,38,72,122.25,True
26,53.85,35,33,68,121.85,True
51,47.55,34,31,65,112.55,True
20,49.35,38,23,61,110.35,True
6,44.25,30,34,64,108.25,True
78,51.75,34,22,56,107.75,True
117,40.65,30,34,64,104.65,True
277,36.30,22,36,58,94.30,True
30,46.80,26,18,44,90.80,True
23,42.15,25,22,47,89.15,True
268,45.90,23,19,42,87.90,True
261,28.95,24,34,58,86.95,True
113,46.95,22,12,34,80.95,True
70,33.00,28,17,45,78.00,True
112,42.00,23,12,35,77.00,True
324,25.05,28,23,51,76.05,True
115,36.00,14,23,37,73.00,True
96,38.10,25,9,34,72.10,True
55,37.50,24,9,33,70.50,True
196,35.40,16,16,32,67.40,True
260,26.85,16,24,40,66.85,True
286,34.80,18,10,28,62.80,True
182,25.95,25,7,32,57.95,True
323,25.65,25,7,32,57.65,True
234,33.00,10,7,17,50.00,True
