id,prospech_a_souteze,prijimacky_cestina,prijimacky_matematika,prijimacky_celkem,body_celkem,prijat
13,60.00,41,48,89,149.00,True
48,57.90,43,42,85,142.90,True
17,54.60,44,44,88,142.60,True
189,54.75,40,43,83,137.75,True
82,57.15,33,44,77,134.15,True
190,58.95,35,35,70,128.95,True
62,51.60,42,32,74,125.60,True
263,52.65,36,28,64,116.65,True
272,54.90,30,25,55,109.90,True
237,48.60,34,27,61,109.60,True
280,53.40,31,23,54,107.40,True
206,46.80,31,21,52,98.80,True
102,40.40,31,25,56,96.40,True
100,36.90,30,29,59,95.90,True
138,38.10,27,30,57,95.10,True
204,40.80,28,26,54,94.80,True
127,38.25,31,24,55,93.25,True
33,45.00,24,24,48,93.00,True
201,44.85,32,15,47,91.85,True
77,48.30,32,11,43,91.30,True
292,51.00,25,12,37,88.00,True
271,36.45,26,22,48,84.45,True
128,27.90,30,25,55,82.90,True
241,32.85,32,17,49,81.85,True
93,41.40,21,19,40,81.40,True
47,34.95,29,17,46,80.95,True
224,30.00,25,25,50,80.00,True
136,40.80,23,14,37,77.80,True
245,49.65,23,5,28,77.65,True
262,41.85,15,18,33,74.85,True
312,27.90,31,14,45,72.90,False
95,38.10,25,9,34,72.10,False
83,37.05,25,10,35,72.05,False
135,33.15,23,15,38,71.15,False
193,37.50,17,16,33,70.50,False
107,39.45,18,13,31,70.45,False
139,36.90,24,8,32,68.90,False
200,22.50,21,23,44,66.50,False
194,30.90,20,14,34,64.90,False
266,33.00,19,12,31,64.00,False
125,24.30,27,12,39,63.30,False
58,33.90,21,8,29,62.90,False
220,24.30,24,13,37,61.30,False
235,21.30,31,6,37,58.30,False
276,30.00,17,10,27,57.00,False
300,30.15,21,S,26,56.15,False
215,20.10,23,11,34,54.10,False
221,0.00,23,28,51,51.00,False
124,23.70,18,7,25,48.70,False
282,18.30,12,16,28,46.30,False
311,9.75,17,6,23,32.75,False
