id,prospech_a_souteze,prijimacky_cestina,prijimacky_matematika,prijimacky_celkem,body_celkem,prijat
41,52.35,32,29,61,113.35,True
253,44.55,35,31,66,110.55,True
277,57.00,25,28,53,110.00,True
147,39.30,31,38,69,108.30,True
227,44.40,33,29,62,106.40,True
17,45.45,27,33,60,105.45,True
40,51.45,21,30,51,102.45,True
237,52.50,23,26,49,101.50,True
209,43.05,27,31,58,101.05,True
248,42.15,34,23,57,99.15,True
257,42.15,33,23,56,98.15,True
231,37.50,31,29,60,97.50,True
303,45.00,33,18,51,96.00,True
175,49.65,18,26,44,93.65,True
16,54.30,25,13,38,92.30,True
310,43.80,28,19,47,90.80,True
305,39.90,33,16,49,88.90,True
220,41.10,28,17,45,86.10,True
200,35.25,27,23,50,85.25,True
111,42.30,22,18,40,82.30,True
260,39.30,23,18,41,80.30,True
89,22.20,28,28,56,78.20,True
79,34.05,27,15,42,76.05,True
121,38.55,24,13,37,75.55,True
243,33.00,28,14,42,75.00,True
123,43.95,16,12,28,71.95,True
235,44.10,13,13,26,70.10,True
112,39.00,19,12,31,70.00,True
190,33.00,17,17,34,67.00,True
27,32.10,14,20,34,66.10,True
66,31.05,16,18,34,65.05,False
103,28.05,18,12,30,58.05,False
265,30.00,15,9,24,54.00,False
255,30.00,15,9,24,54.00,False
4,26.25,12,8,20,46.25,False
233,17.85,13,9,22,39.85,False
81,18.60,8,13,21,39.60,False
177,3.15,21,12,33,36.15,False
