id,prospech_a_souteze,prijimacky_cestina,prijimacky_matematika,prijimacky_celkem,body_celkem,prijat
150,62.00,41,33,74,136.00,True
261,56.85,41,38,79,135.85,True
263,58.95,44,29,73,131.95,True
182,53.40,39,39,78,131.40,True
192,52.95,36,37,73,125.95,True
319,45.90,38,33,71,116.90,True
215,54.90,36,26,62,116.90,True
236,53.70,36,27,63,116.70,True
38,47.10,36,30,66,113.10,True
185,42.30,35,32,67,109.30,True
52,49.95,27,31,58,107.95,True
139,46.65,36,25,61,107.65,True
256,57.00,24,26,50,107.00,True
247,54.90,31,21,52,106.90,True
198,51.15,27,25,52,103.15,True
125,39.90,36,27,63,102.90,True
70,48.45,35,18,53,101.45,True
199,55.20,27,19,46,10120,True
249,42.00,36,23,59,101.00,True
61,49.50,23,28,51,100.50,True
60,53.40,30,17,47,100.40,True
2,55.35,27,17,44,99.35,True
188,39.30,32,28,60,99.30,True
71,50.70,29,19,48,98.70,True
55,39.00,33,26,59,98.00,True
117,40.20,29,27,56,96.20,True
59,39.15,29,28,57,96.15,True
124,46.05,37,12,49,95.05,True
306,47.55,36,11,47,94.55,False
229,43.05,32,19,51,94.05,False
26,39.30,29,25,54,93.30,False
19,50.25,29,14,43,9325,False
20,50.40,29,13,42,92.40,False
308,40.35,28,24,52,92.35,False
300,41.85,26,24,50,91.85,False
56,48.15,16,26,42,90.15,False
49,50.85,27,12,39,89.85,False
304,39.90,33,16,49,88.90,False
54,38.40,27,19,46,84.40,False
122,38.10,26,20,46,84.10,False
109,45.90,23,14,37,82.90,False
170,35.40,22,25,47,82.40,False
196,43.05,27,11,38,81.05,False
259,39.30,23,18,41,80.30,False
268,37.50,19,22,41,78.50,False
283,43.35,28,7,35,78.35,False
32,34.65,28,15,43,77.65,False
244,33.00,28,14,42,75.00,False
151,28.05,26,20,46,74.05,False
3,32.70,22,19,41,73.70,False
84,40.35,28,5,33,73.35,False
251,37.05,23,13,36,73.05,False
58,50.25,18,4,22,72.25,False
102,39.15,21,11,32,71.15,False
146,41.10,15,13,28,69.10,False
222,34.95,14,18,32,66.95,False
187,23.40,20,22,42,65.40,False
174,17.10,21,27,48,65.10,False
171,30.90,17,17,34,64.90,False
225,29.10,19,14,33,62.10,False
10,17.85,30,14,44,61.85,False
78,28.95,19,13,32,60.95,False
8,40.50,11,7,18,58.50,False
252,26.10,22,10,32,58.10,False
57,33.75,18,6,24,57.75,False
137,28.20,21,8,29,57.20,False
65,16.80,29,10,39,55.80,False
153,7.80,15,23,38,45.80,False
299,27.00,14,4,18,45.00,False
316,22.95,7,12,19,41.95,False
