id,prospech_a_souteze,prijimacky_cestina,prijimacky_matematika,prijimacky_celkem,body_celkem,prijat
160,62.00,42,47,89,151.00,True
218,56.85,43,39,82,138.85,True
240,55.80,37,37,74,129.80,True
62,48.90,31,44,75,123.90,True
75,58.05,41,22,63,121.05,True
243,60.00,38,23,61,121.00,True
173,50.85,32,38,70,120.85,True
141,58.20,27,34,61,119.20,True
115,51.90,34,31,65,116.90,True
166,50.55,39,25,64,114.55,True
155,49.20,27,36,63,112.20,True
146,46.35,33,32,65,111.35,True
345,48.15,25,38,63,111.15,True
163,46.80,28,34,62,108.80,True
171,41.40,29,35,64,105.40,True
357,42.30,33,28,61,103.30,True
144,54.45,29,18,47,101.45,True
305,52.80,20,26,46,98.80,True
124,43.50,22,33,55,98.50,True
293,49.35,28,18,46,95.35,True
315,42.00,30,20,50,92.00,True
128,47.10,21,23,44,91.10,True
291,49.20,26,15,41,90.20,True
285,48.90,25,16,41,89.90,True
374,32.10,30,24,54,86.10,True
111,33.75,26,24,50,83.75,True
120,43.65,25,12,37,80.65,True
238,49.50,16,15,31,80.50,True
339,43.65,21,14,35,78.65,True
34,33.00,25,15,40,73.00,True
170,36.75,17,16,33,69.75,False
309,36.15,19,12,31,67.15,False
70,40.95,18,8,26,66.95,False
210,33.60,21,12,33,66.60,False
248,39.00,14,13,27,66.00,False
49,30.00,17,16,33,63.00,False
307,20.85,20,22,42,62.85,False
109,39.90,16,6,22,61.90,False
175,25.95,15,20,35,60.95,False
343,33.90,18,8,26,59.90,False
179,29.10,20,10,30,59.10,False
326,29.55,20,4,24,53.55,False
212,22.05,18,12,30,52.05,False
359,36.30,9,6,15,51.30,False
214,28.80,4,2,6,34.80,False
