id,prospech_a_souteze,prijimacky_cestina,prijimacky_matematika,prijimacky_celkem,body_celkem,prijat
20,58.05,0,30,30,88.95,True
25,60.00,35,25,60,120.00,True
239,57.90,32,30,62,119.90,True
230,49.95,36,33,69,118.95,True
161,56.85,37,25,62,118.85,True
32,49.95,36,31,67,116.95,True
56,51.00,30,33,63,114.00,True
303,52.05,33,28,61,113.05,True
323,50.70,32,29,61,111.70,True
235,50.55,36,25,61,111.55,True
64,54.15,34,22,56,110.15,True
127,55.05,30,25,55,110.05,True
264,51.45,34,22,56,107.45,True
252,54.15,29,23,52,106.15,True
11,54.45,29,21,50,104.45,True
153,54.30,31,17,48,102.30,True
265,45.00,30,27,57,102.00,True
263,44.40,38,17,55,99.40,True
129,49.35,26,24,50,99.35,True
247,44.55,27,27,54,98.55,True
116,40.80,32,25,57,97.80,True
76,50.55,34,13,47,97.55,True
270,50.70,19,26,45,95.70,True
96,48.45,23,23,46,94.45,True
251,38.40,29,27,56,94.40,True
12,48.00,28,18,46,94.00,True
61,49.05,18,26,44,93.05,True
245,40.80,31,21,52,92.80,True
156,46.35,17,29,46,92.35,True
316,42.00,30,20,50,92.00,False
236,45.45,25,19,44,89.45,False
16,49.35,27,13,40,89.35,False
117,48.15,31,9,40,88.15,False
97,46.50,31,10,41,87.50,False
203,41.40,21,23,44,85.40,False
4,47.25,32,6,38,85.25,False
165,44.55,25,14,39,83.55,False
244,40.50,29,14,43,83.50,False
21,42.00,27,13,40,82.00,False
341,37.50,27,17,44,81.50,False
118,43.05,21,17,38,81.05,False
256,39.00,29,12,41,80.00,False
370,43.05,0,12,12,55.05,False
369,28.95,30,21,51,79.95,False
260,32.10,25,21,46,78.10,False
356,36.00,18,24,42,78.00,False
151,51.00,14,13,27,78.00,False
283,49.35,15,13,28,77.35,False
225,36.00,30,11,41,77.00,False
94,43.50,20,12,32,75.50,False
302,33.45,25,17,42,75.45,False
142,32.85,20,22,42,74.85,False
58,40.20,21,13,34,74.20,False
358,49.05,16,8,24,73.05,False
321,33.00,32,8,40,73.00,False
169,36.75,17,16,33,69.75,False
77,32.10,27,10,37,69.10,False
299,44.55,18,6,24,68.55,False
268,37.95,16,13,29,66.95,False
68,39.60,17,10,27,66.60,False
254,42.90,10,5,15,57.90,False
313,24.45,0,19,19,43.45,False
342,20.55,25,12,37,57.55,False
48,30.00,13,14,27,57.00,False
101,24.00,15,15,30,54.00,False
81,28.95,12,12,24,52.05,False
242,26.25,11,15,26,52.25,False
140,27.30,16,3,19,46.30,False
229,22.95,18,3,21,43.95,False
227,13.20,23,7,30,43.20,False
