id,prospech_a_souteze,prijimacky_cestina,prijimacky_matematika,prijimacky_celkem,body_celkem,prijat
113,58.95,44,47,91,149.95,True
22,61.10,45,41,86,147.10,True
3,55.05,41,43,84,139.05,True
105,56.00,33,36,69,125.00,True
143,56.85,39,28,67,123.85,True
147,55.05,36,32,68,123.05,True
103,57.90,36,29,65,122.90,True
258,52.65,41,27,68,120.65,True
250,50.85,38,26,64,114.85,True
31,48.45,34,32,66,114.45,True
206,45.30,33,35,68,113.30,True
255,40.65,30,42,72,112.65,True
85,53.55,32,26,58,111.55,True
204,30.15,32,49,81,111.15,True
107,47.70,31,32,63,110.70,True
289,49.95,27,32,59,108.95,True
152,47.70,32,29,61,108.70,True
7,24.60,39,45,84,108.60,True
317,40.65,37,29,66,106.65,True
122,48.75,28,28,56,104.75,True
353,41.25,26,35,61,102.25,True
99,47.70,24,29,53,100.70,True
54,57.15,29,13,42,99.15,True
281,49.50,29,18,47,96.50,True
208,47.55,24,24,48,95.55,True
222,51.45,31,13,44,95.45,True
59,56.25,25,12,37,93.25,True
90,45.15,35,13,48,93.15,True
157,46.35,17,29,46,92.35,True
324,41.40,24,25,49,90.40,False
15,49.35,27,13,40,89.35,False
216,43.05,26,17,43,86.05,False
202,41.40,21,23,44,85.40,False
17,39.75,25,20,45,84.75,False
24,45.45,21,18,39,84.45,False
280,38.40,30,16,46,84.40,False
164,53.55,18,12,30,83.55,False
232,44.10,26,13,39,83.10,False
328,41.40,29,12,41,82.40,False
119,43.65,25,12,37,80.65,False
14,37.95,30,12,42,79.95,False
149,42.90,14,23,37,79.90,False
177,34.35,29,16,45,79.35,False
338,43.65,21,14,35,78.65,False
154,45.00,23,10,33,78.00,False
224,36.00,30,11,41,77.00,False
295,42.00,23,12,35,77.00,False
65,44.40,15,17,32,76.40,False
282,35.10,25,15,40,75.10,False
57,40.20,21,13,34,74.20,False
35,33.00,25,15,40,73.00,False
79,37.95,0,12,12,49.95,False
322,33.00,32,8,40,73.00,False
69,31.95,24,14,38,69.95,False
78,32.10,27,10,37,69.10,False
87,18.45,31,19,50,68.45,False
355,21.45,22,25,47,68.45,False
266,34.05,20,14,34,68.05,False
253,30.00,17,20,37,67.00,False
269,37.95,16,13,29,66.05,False
67,39.60,17,10,27,66.60,False
51,34.65,20,10,30,64.65,False
287,24.15,19,21,40,64.15,False
158,37.05,16,11,27,64.05,False
176,25.95,15,20,35,60.95,False
284,32.10,17,10,27,59.10,False
13,36.00,14,9,23,59.00,False
237,22.80,9,24,33,55.80,False
314,35.40,0,4,4,39.40,False
246,27.90,15,10,25,52.90,False
226,13.20,23,7,30,43.20,False
47,14.40,12,6,18,32.40,False
