id,prospech_zs,prijimacky_cestina,prijimacky_matematika,souteze_zs,body_celkem,prijat
156,58.20,43,43,0,144.20,True
35,50.40,43,39,0,132.40,True
269,58.80,42,31,0,131.80,True
75,48.90,40,34,0,122.90,True
271,42.90,37,37,0,116.90,True
79,57.00,31,28,0,116.00,True
265,43.50,39,33,0,115.50,True
157,50.40,38,26,0,114.40,True
23,45.90,30,32,2,109.90,True
258,49.50,32,22,0,103.50,True
96,36.60,38,21,4,99.60,True
56,33.60,32,31,0,96.60,True
49,44.40,31,18,0,93.40,True
21,36.30,21,27,0,84.30,True
255,26.10,32,24,0,82.10,True
101,33.00,28,20,0,81.00,True
195,33.90,25,21,0,79.90,True
55,38.40,24,16,0,78.40,True
67,36.30,27,13,0,76.30,True
304,15.90,33,26,0,74.90,True
99,27.90,24,14,0,65.90,True
134,23.40,26,15,0,64.40,True
124,27.90,26,9,0,62.90,True
196,28.80,23,11,0,62.80,True
72,38.40,14,10,0,62.40,True
38,28.80,21,12,0,61.80,True
39,21.60,19,11,0,51.60,True
54,20.40,22,6,0,48.40,True
219,15.00,22,8,0,45.00,True
262,10.50,12,8,0,30.50,True
