prijmeni;jmeno;trida;skola_izo;skola_zkr;skola_nazev
02068;9049d;1.IT;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
9e47e;1a3c0;1.IT;43462448;ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130
aa060;43412;1.IT;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
9759e;a8a94;1.IT;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
93aca;6f9cb;1.IT;49290649;ZŠSvato;Základní škola Malé Svatoňovice, 17. listopadu 178
6ba8f;65d1f;1.IT;102590044;ZŠŽacléř;Základní škola, Žacléř, J. A. Komenského 339
f6d5b;3a9b5;1.IT;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
4e64f;6f315;1.IT;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
80506;262ec;1.IT;102578672;ZŠRadvanice;Základní škola a Mateřská škola, Radvanice, okres Trutnov
79b26;72274;1.IT;15037789;Gymn.+SOŠÚpice;Městské gymnázium a střední odborná škola Úpice, Úpice, Havlíčkova 812
ac558;0cf35;1.IT;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
0e725;f3be7;1.IT;102254885;ZŠTepl.n.Met.;Základní škola a Mateřská škola, Teplice nad Metují, Rooseveltova 106
c7058;006d7;1.S;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
c5b1f;8a7d0;1.S;102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
7e248;53ea4;1.S;15037789;Gymn.+SOŠÚpice;Městské gymnázium a střední odborná škola Úpice, Úpice, Havlíčkova 812
64149;91517;1.S;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
a88ae;2dc2c;1.S;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
efbda;8e818;1.S;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
1cc82;6b7c4;1.S;49290266;ZŠMaršo;Základní škola a Mateřská škola, Horní Maršov, okres Trutnov
fef70;19c98;1.S;47466928;ZŠRudník;ZŠ a MŠ Rudník, okres Trutnov
2977e;e8413;1.S;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
27b57;b38f1;1.S;102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
643e6;f6385;1.S;102590044;ZŠŽacléř;Základní škola, Žacléř, J. A. Komenského 339
96346;a1d26;1.S;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
3b8f9;2fa1b;1.S;102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
34f03;2d890;1.S;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
5444e;5a5b5;1.S;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
863fd;0180a;1.S;15037789;Gymn.+SOŠÚpice;Městské gymnázium a střední odborná škola Úpice, Úpice, Havlíčkova 812
4f92f;96bb5;1.S;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
8d01c;9f038;1.S;102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
9ac58;de632;1.S;102578923;ZŠLány;Základní škola Úpice - Lány, Úpice, Palackého 793
5bbd7;1e92d;1.S;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
78c42;02d94;1.S;102578648;ZŠaMŠ Mostek;Základní a mateřská škola Mostek
ea0b1;4766c;1.S;43462448;ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130
5d1bf;fb2c6;1.S;102454019;ZŠStudenec;Základní škola a Mateřská škola, Studenec, okres Semily, příspěvková organizace
c302e;ea4d3;1.S;110013654;DdŠ Chrudim;Dětský domov se školou, Chrudim
58c65;a01e4;1.S;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
dcbe3;89f83;1.S;15037789;Gymn.+SOŠÚpice;Městské gymnázium a střední odborná škola Úpice, Úpice, Havlíčkova 812
2dd6f;71a3d;1.S;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
65e35;17f86;1.S;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
9973d;b9c77;1.S;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
c4faf;fcf6c;1.S;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
2ad9d;401c6;1.ST;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
6a565;5dc91;1.ST;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
c24a1;11b3f;1.ST;60154691;ZŠPodharťDv.Kr.;Základní škola Podharť, Dvůr Králové nad Labem, Máchova 884
854fb;b5620;1.ST;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
4a5b7;12c76;1.ST;102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
8b7f6;5b6cc;1.ST;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
34bfb;bee6b;1.ST;47463996;ZŠBří.Ú;Základní škola Bratří Čapků, Úpice, Komenského 151
ffc16;81f07;1.ST;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
d8947;06243;1.ST;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
aac49;debff;1.ST;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
ac022;6e5c3;1.ST;47463996;ZŠBří.Ú;Základní škola Bratří Čapků, Úpice, Komenského 151
d0b87;8418d;1.ST;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
6f480;25e7e;1.ST;102590044;ZŠŽacléř;Základní škola, Žacléř, J. A. Komenského 339
b9a51;f074c;1.ST;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
94379;28899;1.ST;47466928;ZŠRudník;ZŠ a MŠ Rudník, okres Trutnov
eae14;7104f;1.ST;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
df73b;a002e;1.ST;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
fc72f;835bf;1.ST;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
52062;dd403;1.ST;49290576;ZŠaZUŠRtyněvPod.;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší, Rtyně v Podkrkonoší, Školní 662
0d4e0;65485;1.ST;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
622fb;61923;1.ST;60154691;ZŠPodharťDv.Kr.;Základní škola Podharť, Dvůr Králové nad Labem, Máchova 884
e0c2a;2f911;1.ST;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
fe9ed;02bdc;1.ST;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
f1bb6;a9de7;1.ST;49290649;ZŠSvato;Základní škola Malé Svatoňovice, 17. listopadu 178
81bcc;3174c;1.ST;49290576;ZŠaZUŠRtyněvPod.;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší, Rtyně v Podkrkonoší, Školní 662
fbed7;ac00b;1.ST;49290649;ZŠSvato;Základní škola Malé Svatoňovice, 17. listopadu 178
15dbc;e26e8;1.ST;102254648;ZŠČes.Skalice;Základní škola, Česká Skalice, Zelená 153
cf22f;ca550;1.ST;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
c191e;7ae9e;1.ST;102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
