prijmeni;jmeno;trida;skola_izo;skola_zkr;skola_nazev
e5670;aa055;1.EP;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
e0fd9;edc25;1.EP;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
8f66c;e9dfd;1.EP;102578672;ZŠRadvanice;Základní škola a Mateřská škola, Radvanice, okres Trutnov
5cf28;57575;1.EP;60153237;Gymn.Trutnov;Gymnázium, Trutnov, Jiráskovo náměstí 325
10980;f5258;1.EP;60152885;ZŠBuky;Základní škola a mateřská škola, Mladé Buky 160
1b7e5;8ebb1;1.EP;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
90583;4d1de;1.EP;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
11f44;c55fb;1.EP;60153245;Gymn.+SOŠVrchlabí;Krkonošské gymnázium a Střední odborná škola, Vrchlabí, Komenského 586
04d4f;a08cf;1.EP;60153245;Gymn.+SOŠVrchlabí;Krkonošské gymnázium a Střední odborná škola, Vrchlabí, Komenského 586
2a37a;02b2d;1.EP;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
64f12;0e492;1.EP;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
1d345;28ca6;1.EP;102590044;ZŠŽacléř;Základní škola, Žacléř, J. A. Komenského 339
dc32b;e9929;1.EP;47463996;ZŠBří.Ú;Základní škola Bratří Čapků, Úpice, Komenského 151
50996;33b49;1.EP;102578753;ZŠŠ.Mlý;Základní škola, Špindlerův Mlýn 32, okres Trutnov
27eac;0790c;1.EP;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
edbf0;96d88;1.EP;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
a65cc;49c43;1.EP;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
7c66d;ba6b0;1.EP;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
66ba1;5cacf;1.EP;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
0110f;45e64;1.EP;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
e20ed;eb749;1.EP;15037789;Gymn.+SOŠÚpice;Městské gymnázium a střední odborná škola Úpice, Úpice, Havlíčkova 812
1022e;087db;1.EP;60153245;Gymn.+SOŠVrchlabí;Krkonošské gymnázium a Střední odborná škola, Vrchlabí, Komenského 586
78c1a;54af5;1.EP;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
89c20;642d6;1.EP;60153245;Gymn.+SOŠVrchlabí;Krkonošské gymnázium a Střední odborná škola, Vrchlabí, Komenského 586
c086c;a5569;1.EP;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
02993;1c69c;1.EP;102254885;ZŠTepl.n.Met.;Základní škola a Mateřská škola, Teplice nad Metují, Rooseveltova 106
d00a3;8a39e;1.EP;102578371;ZŠPilní;Základní škola a Mateřská škola, Pilníkov, okres Trutnov
ad27f;4fd8e;1.EP;49290266;ZŠMaršo;Základní škola a Mateřská škola, Horní Maršov, okres Trutnov
2440a;9f319;1.EP;102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
2300f;c1d7b;1.EP;60152885;ZŠBuky;Základní škola a mateřská škola, Mladé Buky 160
cfecb;3d942;1.IT;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
8a40a;5eb0c;1.IT;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
4e5ce;187df;1.IT;49290649;ZŠSvato;Základní škola Malé Svatoňovice, 17. listopadu 178
e5bfb;b80f1;1.IT;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
69e35;bd104;1.IT;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
4e10c;77d7c;1.IT;60153245;Gymn.+SOŠVrchlabí;Krkonošské gymnázium a Střední odborná škola, Vrchlabí, Komenského 586
aad7b;aed95;1.IT;47466928;ZŠRudník;ZŠ a MŠ Rudník, okres Trutnov
ef33c;56712;1.IT;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
5de7c;4f3b6;1.IT;102578923;ZŠLány;Základní škola Úpice - Lány, Úpice, Palackého 793
17959;e2112;1.IT;49290266;ZŠMaršo;Základní škola a Mateřská škola, Horní Maršov, okres Trutnov
6c463;c7da1;1.IT;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
e3d61;ce8b0;1.IT;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
57972;bbe37;1.IT;49290266;ZŠMaršo;Základní škola a Mateřská škola, Horní Maršov, okres Trutnov
c5ecb;8ae11;1.IT;102590044;ZŠŽacléř;Základní škola, Žacléř, J. A. Komenského 339
08700;c8ebc;1.IT;102590044;ZŠŽacléř;Základní škola, Žacléř, J. A. Komenského 339
eeacb;4f45d;1.IT;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
51119;5a590;1.IT;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
