prijmeni;jmeno;trida;skola_izo;skola_zkr;skola_nazev
0ef4a;5f279;1.IT;110150058;Sšgastro Liberec;Střední škola gastronomických služeb, Liberec
3ac99;d28c3;1.IT;102442789;ZŠaMŠ Čistá u Horek;Základní škola a mateřská škola, Čistá u Horek
28a0c;ba8c5;1.S;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
4e4d0;927cf;1.S;49290266;ZŠMaršo;Základní škola a Mateřská škola, Horní Maršov, okres Trutnov
de94d;fec38;1.S;60154691;ZŠPodharťDv.Kr.;Základní škola Podharť, Dvůr Králové nad Labem, Máchova 884
aa22e;64282;1.S;102390894;ZŠ F.Kupky Dobruška;Základní škola Fr. Kupky, Dobruška
1e5b1;e14c2;1.S;102578923;ZŠLány;Základní škola Úpice - Lány, Úpice, Palackého 793
2f828;90d48;1.S;60153245;Gymn.+SOŠVrchlabí;Krkonošské gymnázium a Střední odborná škola, Vrchlabí, Komenského 586
074b3;a0096;1.S;102578371;ZŠPilní;Základní škola a Mateřská škola, Pilníkov, okres Trutnov
21702;9e455;1.S;102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
fd2cd;d77a0;1.S;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
aa03e;e6906;1.S;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
a4e17;ff84a;1.S;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
d8d9d;d96ad;1.S;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
0e328;054dc;1.S;43462448;ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130
75ea4;b98b4;1.S;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
d4925;4c028;1.S;102578460;ZŠ5.května;Základní škola 5. května, Dvůr Králové nad Labem, 28. října 731, okres Trutnov
1dfc2;8c56d;1.S;43462448;ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130
69861;297f6;1.S;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
ea17f;d6047;1.S;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
b784b;b5194;1.S;102578371;ZŠPilní;Základní škola a Mateřská škola, Pilníkov, okres Trutnov
4654b;843a8;1.S;102254591;ZŠaMŠ Hořičky;Základní škola a mateřská škola Hořičky
cc922;27d27;1.S;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
68fed;7a179;1.S;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
59279;cc6d8;1.S;60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
d567e;24ed4;1.S;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
f44d5;a69a2;1.S;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
b5cab;4fcee;1.S;102578923;ZŠLány;Základní škola Úpice - Lány, Úpice, Palackého 793
4ba41;402cb;1.S;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
a98e7;e98b4;1.ST;15037789;Gymn.+SOŠÚpice;Městské gymnázium a střední odborná škola Úpice, Úpice, Havlíčkova 812
3633a;917eb;1.ST;60154691;ZŠPodharťDv.Kr.;Základní škola Podharť, Dvůr Králové nad Labem, Máchova 884
db068;b518c;1.ST;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
4a613;34b7f;1.ST;102578460;ZŠ5.května;Základní škola 5. května, Dvůr Králové nad Labem, 28. října 731, okres Trutnov
4b767;94e73;1.ST;49290649;ZŠSvato;Základní škola Malé Svatoňovice, 17. listopadu 178
488fe;05562;1.ST;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
61768;b779e;1.ST;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
f073b;86eb8;1.ST;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
4a674;b4b68;1.ST;60152885;ZŠBuky;Základní škola a mateřská škola, Mladé Buky 160
5a280;1f720;1.ST;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
f99db;208da;1.ST;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
f18de;f542d;1.ST;102578460;ZŠ5.května;Základní škola 5. května, Dvůr Králové nad Labem, 28. října 731, okres Trutnov
0522f;6a036;1.ST;43462448;ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130
aa901;d0ed5;1.ST;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
c703a;8108a;1.ST;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
6c837;b910d;1.ST;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
9fe55;2d449;1.ST;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
a65cc;49c43;1.ST;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
15090;62991;1.ST;60152885;ZŠBuky;Základní škola a mateřská škola, Mladé Buky 160
6858a;04b60;1.ST;15037789;Gymn.+SOŠÚpice;Městské gymnázium a střední odborná škola Úpice, Úpice, Havlíčkova 812
9f437;6e39b;1.ST;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
ab7a7;a6456;1.ST;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
61231;e6a74;1.ST;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
8a92f;1ab40;1.ST;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
8bcfe;9d3d8;1.ST;102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
c806a;94be3;1.ST;43462448;ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130
d13cf;9a260;1.ST;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
a586e;42257;1.ST;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
8823f;e1209;1.ST;117900729;ZŠŠk.Vr 1336;Základní škola, Vrchlabí, Školní 1336
a07eb;dd906;1.ST;102578460;ZŠ5.května;Základní škola 5. května, Dvůr Králové nad Labem, 28. října 731, okres Trutnov
